,ItemCode,#sales,stage,DailySales
0,3418,136,validation,"[18, 3, 8, 2, 4, 2, 8, 12, 0, 14, 2, 9, 8, 5, 15, 2, 0, 14, 4, 12, 2, 1, 6, 2, 13, 5, 5, 6, 10, 2, 3, 8, 12, 8, 10, 7, 1, 0, 14, 3, 6, 7, 3, 5, 5, 7, 20, 10, 0, 12, 0, 0, 2, 10, 6, 17, 7, 5, 7, 6, 6, 13, 14, 9, 12, 9, 25, 11, 6, 16, 12, 20, 11, 12, 15, 4, 24, 3, 13, 2, 7, 19, 1, 16, 19, 9, 4, 6, 6, 10, 11, 6, 4, 13, 9, 26, 2, 20, 20, 3, 3, 7, 7, 14, 28, 8, 9, 12, 18, 0, 16, 12, 18, 8, 17, 15, 2, 3, 19, 7, 9, 12, 22, 7, 17, 29, 10, 11, 13, 6, 7, 26, 9, 2, 19, 3]"
1,3427,136,validation,"[2, 7, 2, 3, 9, 0, 5, 8, 10, 5, 5, 4, 0, 4, 3, 2, 2, 27, 1, 7, 0, 6, 6, 1, 21, 5, 11, 2, 10, 2, 3, 3, 3, 5, 14, 2, 0, 1, 10, 5, 0, 2, 7, 4, 8, 5, 6, 20, 1, 11, 6, 3, 1, 7, 5, 2, 11, 9, 7, 5, 5, 20, 6, 4, 7, 10, 15, 4, 5, 3, 7, 2, 10, 8, 5, 3, 6, 5, 13, 5, 20, 13, 6, 16, 12, 2, 9, 15, 3, 5, 7, 2, 2, 5, 5, 1, 5, 5, 44, 3, 3, 4, 13, 0, 9, 2, 3, 1, 9, 9, 9, 1, 2, 2, 2, 7, 3, 1, 5, 1, 8, 4, 7, 6, 6, 15, 8, 8, 8, 7, 2, 2, 9, 10, 4, 1]"
2,7666,135,validation,"[14, 58, 12, 8, 5, 33, 11, 23, 24, 15, 41, 20, 5, 12, 15, 68, 35, 55, 2, 28, 17, 37, 27, 19, 10, 31, 29, 21, 1, 0, 2, 0, 5, 0, 6, 0, 0, 4, 5, 3, 0, 0, 0, 0, 2, 3, 2, 0, 0, 8, 15, 2, 6, 14, 0, 3, 22, 31, 3, 3, 11, 11, 13, 9, 32, 3, 15, 40, 9, 12, 12, 17, 36, 33, 22, 21, 79, 25, 20, 19, 10, 43, 12, 3, 25, 17, 15, 28, 10, 16, 2, 26, 13, 12, 1, 6, 0, 6, 0, 2, 0, 0, 3, 7, 2, 8, 2, 4, 2, 4, 5, 3, 7, 0, 7, 5, 0, 7, 3, 14, 6, 3, 2, 0, 36, 0, 1, 0, 2, 1, 4, 28, 5, 0, 1]"
3,9925,133,test,"[1, 3, 1, 2, 0, 0, 2, 1, 0, 1, 8, 0, 2, 0, 0, 5, 1, 3, 1, 2, 1, 0, 0, 1, 1, 0, 0, 3, 0, 9, 0, 0, 0, 2, 0, 0, 2, 2, 2, 2, 1, 2, 0, 1, 1, 0, 4, 0, 4, 3, 3, 3, 2, 2, 1, 1, 0, 2, 4, 1, 3, 0, 0, 0, 1, 0, 3, 11, 0, 5, 1, 1, 1, 3, 2, 0, 3, 5, 0, 6, 3, 2, 2, 3, 1, 2, 6, 4, 2, 2, 2, 1, 2, 0, 1, 0, 1, 2, 2, 0, 4, 1, 1, 0, 1, 2, 4, 2, 1, 4, 0, 2, 1, 2, 0, 2, 5, 0, 1, 0, 0, 1, 1, 2, 2, 2, 0, 1, 13, 1, 4, 1, 1]"
4,16936,136,test,"[4, 1, 4, 1, 0, 0, 21, 2, 1, 0, 5, 9, 2, 8, 8, 8, 0, 8, 1, 2, 4, 6, 0, 10, 1, 10, 6, 0, 4, 0, 0, 2, 10, 2, 9, 2, 10, 8, 0, 1, 2, 0, 0, 2, 2, 4, 0, 4, 3, 13, 2, 8, 4, 0, 1, 140, 2, 4, 0, 4, 3, 3, 20, 2, 0, 0, 1, 13, 4, 0, 7, 3, 0, 3, 0, 4, 8, 5, 5, 0, 0, 4, 10, 4, 9, 2, 20, 4, 8, 2, 5, 8, 7, 6, 7, 2, 5, 3, 19, 24, 14, 11, 5, 10, 2, 23, 15, 0, 4, 2, 9, 10, 15, 0, 3, 5, 18, 11, 12, 0, 10, 10, 4, 3, 17, 16, 2, 0, 6, 6, 2, 8, 9, 17, 9, 20]"
5,17287,136,validation,"[2, 0, 0, 1, 0, 5, 1, 7, 2, 0, 2, 0, 2, 0, 0, 2, 0, 0, 1, 2, 1, 4, 1, 1, 2, 0, 4, 3, 1, 2, 9, 5, 2, 0, 3, 4, 7, 0, 0, 1, 0, 3, 2, 0, 6, 1, 0, 2, 2, 10, 5, 0, 0, 0, 0, 0, 7, 0, 3, 9, 1, 0, 9, 0, 0, 5, 2, 0, 15, 1, 4, 1, 0, 0, 0, 0, 2, 0, 2, 2, 9, 3, 0, 3, 3, 0, 0, 0, 7, 2, 3, 3, 2, 4, 0, 2, 6, 9, 1, 2, 1, 5, 3, 4, 4, 0, 1, 0, 8, 8, 8, 1, 1, 2, 0, 6, 31, 10, 7, 7, 9, 12, 7, 5, 1, 0, 0, 1, 0, 0, 7, 0, 1, 3, 3, 9]"
6,17296,136,validation,"[28, 44, 43, 26, 27, 22, 43, 51, 81, 24, 28, 35, 57, 108, 142, 35, 33, 42, 56, 30, 33, 42, 37, 36, 43, 49, 138, 51, 92, 60, 52, 71, 75, 78, 168, 80, 42, 64, 49, 52, 90, 158, 78, 167, 49, 69, 52, 93, 89, 82, 74, 81, 105, 117, 86, 85, 101, 51, 35, 25, 34, 62, 82, 140, 37, 55, 51, 44, 47, 84, 54, 36, 279, 66, 116, 51, 48, 143, 102, 43, 61, 100, 40, 77, 60, 66, 30, 64, 40, 58, 81, 62, 132, 44, 147, 52, 35, 88, 131, 68, 100, 75, 186, 53, 54, 50, 69, 16, 434, 179, 94, 66, 36, 51, 49, 44, 34, 40, 44, 28, 72, 39, 46, 58, 85, 91, 43, 222, 29, 48, 21, 34, 74, 56, 51, 47]"
7,20824,136,validation,"[7, 20, 26, 7, 32, 26, 18, 11, 22, 28, 10, 7, 14, 12, 53, 15, 12, 25, 11, 11, 17, 13, 11, 24, 13, 21, 12, 8, 23, 15, 11, 25, 20, 8, 13, 38, 31, 28, 36, 49, 60, 91, 24, 12, 12, 18, 21, 16, 13, 19, 17, 36, 18, 17, 21, 15, 24, 21, 18, 12, 21, 13, 25, 15, 13, 16, 19, 13, 15, 25, 20, 13, 17, 9, 14, 8, 27, 10, 13, 22, 25, 10, 26, 17, 20, 11, 10, 11, 12, 12, 23, 26, 12, 20, 12, 8, 14, 5, 18, 21, 13, 17, 12, 29, 22, 10, 17, 19, 12, 22, 4, 19, 10, 13, 14, 24, 25, 13, 16, 8, 14, 22, 18, 20, 21, 22, 19, 20, 16, 17, 26, 10, 23, 12, 18, 30]"
8,23200,136,test,"[2, 4, 2, 0, 0, 0, 0, 0, 4, 3, 0, 2, 6, 2, 0, 2, 21, 0, 1, 2, 0, 0, 3, 1, 0, 0, 5, 1, 13, 24, 21, 10, 4, 11, 11, 15, 16, 13, 9, 8, 14, 9, 4, 10, 7, 10, 2, 1, 3, 3, 3, 8, 16, 2, 9, 0, 29, 19, 33, 26, 25, 23, 13, 21, 24, 31, 50, 26, 24, 21, 22, 28, 24, 23, 39, 28, 46, 13, 0, 0, 0, 8, 11, 2, 32, 11, 9, 20, 5, 10, 14, 40, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17]"
9,23569,136,validation,"[3, 7, 5, 1, 0, 4, 2, 5, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5, 1, 2, 1, 1, 0, 5, 0, 2, 2, 1, 0, 0, 0, 0, 0, 12, 8, 2, 8, 10, 6, 5, 11, 10, 3, 7, 6, 0, 8, 8, 2, 6, 5, 2, 2, 4, 2, 2, 4, 5, 0, 4, 2, 5, 4, 7, 7, 0, 1, 1, 0, 1, 5, 3, 3, 1, 4, 4, 1, 4, 4, 1, 2, 1, 3, 4, 2, 3, 5, 3, 1, 1, 6, 0, 0, 3, 1, 1, 3, 3, 2, 2, 2, 5, 2, 6, 1, 1, 3, 2, 2, 2, 5, 4, 2, 6, 4, 4, 8, 1, 1, 6, 0, 7, 3, 1, 1, 5, 0, 1, 3, 2, 2, 5, 1, 2, 1]"
