ItemCode,#sales,stage,WeeklySales
3418,21,validation,"[29, 42, 41, 41, 44, 46, 43, 49, 54, 69, 101, 73, 75, 39, 83, 85, 89, 67, 109, 17, 72]"
3427,21,validation,"[11, 40, 20, 48, 54, 28, 36, 52, 42, 57, 46, 45, 78, 32, 66, 32, 34, 29, 58, 7, 35]"
7666,21,validation,"[84, 119, 196, 185, 94, 15, 10, 30, 79, 82, 141, 219, 125, 82, 15, 26, 28, 38, 41, 25, 39]"
9925,21,test,"[1, 9, 11, 13, 5, 11, 11, 13, 12, 10, 21, 15, 17, 16, 8, 9, 14, 10, 8, 3, 21]"
16936,21,test,"[9, 25, 40, 31, 21, 43, 7, 34, 151, 32, 28, 25, 49, 27, 74, 66, 43, 66, 48, 13, 71]"
17287,21,validation,"[2, 16, 6, 10, 21, 21, 12, 20, 10, 24, 23, 6, 18, 15, 21, 17, 28, 82, 14, 6, 23]"
17296,21,validation,"[115, 274, 438, 276, 485, 578, 643, 540, 580, 435, 595, 569, 434, 305, 621, 503, 909, 301, 574, 176, 331]"
20824,21,validation,"[53, 144, 123, 112, 103, 163, 284, 140, 134, 115, 122, 103, 119, 84, 91, 126, 94, 122, 136, 32, 136]"
23200,21,test,"[8, 7, 33, 7, 64, 80, 61, 30, 108, 163, 195, 149, 73, 89, 0, 0, 0, 0, 0, 6, 22]"
23569,21,validation,"[15, 13, 3, 11, 10, 30, 52, 35, 21, 29, 11, 21, 16, 16, 15, 20, 23, 24, 18, 0, 16]"
24136,21,validation,"[17, 25, 45, 130, 36, 33, 17, 7, 22, 25, 23, 16, 31, 22, 31, 27, 55, 33, 16, 3, 26]"
30877,21,validation,"[21, 70, 41, 51, 64, 72, 131, 50, 61, 98, 103, 44, 68, 43, 44, 64, 114, 107, 71, 7, 92]"
32245,21,test,"[26, 41, 24, 45, 28, 27, 29, 40, 29, 46, 38, 18, 53, 24, 78, 30, 51, 51, 51, 5, 51]"
35449,21,test,"[2, 1, 3, 6, 6, 5, 7, 5, 18, 11, 27, 17, 20, 1, 14, 15, 11, 16, 23, 0, 29]"
35530,21,test,"[2, 21, 24, 7, 15, 3, 18, 3, 20, 6, 21, 7, 16, 4, 16, 17, 10, 16, 0, 4, 22]"
35584,21,validation,"[1, 6, 5, 4, 8, 2, 2, 5, 4, 7, 8, 12, 19, 4, 4, 22, 4, 5, 5, 0, 10]"
36898,21,test,"[17, 55, 40, 90, 82, 74, 58, 70, 62, 85, 76, 60, 76, 57, 105, 90, 118, 53, 77, 18, 70]"
37510,21,test,"[1, 12, 6, 6, 10, 11, 7, 3, 2, 4, 12, 7, 4, 4, 8, 7, 7, 6, 8, 0, 11]"
37861,21,test,"[77, 168, 89, 78, 125, 143, 80, 83, 143, 131, 127, 91, 143, 96, 206, 144, 126, 165, 241, 14, 239]"
38518,21,test,"[9, 25, 13, 19, 9, 6, 8, 12, 18, 14, 28, 16, 12, 10, 30, 17, 12, 18, 17, 8, 35]"
