,ItemCode,#sales,stage,WeeklySales
0,3418,21,validation,"[83, 85, 89, 67, 109, 72, 21, 29, 42, 41, 41, 44, 46, 43, 49, 54, 69, 101, 73, 75, 56]"
1,3427,21,test,"[66, 32, 34, 29, 58, 35, 3, 11, 40, 20, 48, 54, 28, 36, 52, 42, 57, 46, 45, 78, 39]"
2,7666,21,test,"[15, 26, 28, 38, 41, 39, 35, 84, 119, 196, 185, 94, 15, 10, 30, 79, 82, 141, 219, 125, 107]"
3,9925,21,test,"[8, 9, 14, 10, 8, 21, 8, 1, 9, 11, 13, 5, 11, 11, 13, 12, 10, 21, 15, 17, 19]"
4,16936,21,validation,"[74, 66, 43, 66, 48, 71, 23, 9, 25, 40, 31, 21, 43, 7, 34, 151, 32, 28, 25, 49, 40]"
5,17287,21,validation,"[21, 17, 28, 82, 14, 23, 38, 2, 16, 6, 10, 21, 21, 12, 20, 10, 24, 23, 6, 18, 21]"
6,17296,21,validation,"[621, 503, 909, 301, 574, 331, 201, 115, 274, 438, 276, 485, 578, 643, 540, 580, 435, 595, 569, 434, 481]"
7,20824,21,test,"[91, 126, 94, 122, 136, 136, 72, 53, 144, 123, 112, 103, 163, 284, 140, 134, 115, 122, 103, 119, 116]"
8,23200,21,validation,"[0, 0, 0, 0, 0, 22, 14, 8, 7, 33, 7, 64, 80, 61, 30, 108, 163, 195, 149, 73, 95]"
9,23569,21,test,"[15, 20, 23, 24, 18, 16, 12, 15, 13, 3, 11, 10, 30, 52, 35, 21, 29, 11, 21, 16, 16]"
10,24136,21,validation,"[31, 27, 55, 33, 16, 26, 11, 17, 25, 45, 130, 36, 33, 17, 7, 22, 25, 23, 16, 31, 25]"
11,30877,21,validation,"[44, 64, 114, 107, 71, 92, 46, 21, 70, 41, 51, 64, 72, 131, 50, 61, 98, 103, 44, 68, 50]"
12,32245,21,test,"[78, 30, 51, 51, 51, 51, 16, 26, 41, 24, 45, 28, 27, 29, 40, 29, 46, 38, 18, 53, 29]"
13,35449,21,test,"[14, 15, 11, 16, 23, 29, 3, 2, 1, 3, 6, 6, 5, 7, 5, 18, 11, 27, 17, 20, 1]"
14,35530,21,test,"[16, 17, 10, 16, 0, 22, 9, 2, 21, 24, 7, 15, 3, 18, 3, 20, 6, 21, 7, 16, 8]"
15,35584,21,test,"[4, 22, 4, 5, 5, 10, 4, 1, 6, 5, 4, 8, 2, 2, 5, 4, 7, 8, 12, 19, 4]"
16,36898,21,validation,"[105, 90, 118, 53, 77, 70, 45, 17, 55, 40, 90, 82, 74, 58, 70, 62, 85, 76, 60, 76, 75]"
17,37510,21,validation,"[8, 7, 7, 6, 8, 11, 3, 1, 12, 6, 6, 10, 11, 7, 3, 2, 4, 12, 7, 4, 4]"
18,37861,21,test,"[206, 144, 126, 165, 241, 239, 111, 77, 168, 89, 78, 125, 143, 80, 83, 143, 131, 127, 91, 143, 110]"
19,38518,21,test,"[30, 17, 12, 18, 17, 35, 16, 9, 25, 13, 19, 9, 6, 8, 12, 18, 14, 28, 16, 12, 18]"
20,39436,21,validation,"[16, 14, 22, 21, 18, 23, 11, 139, 161, 93, 26, 22, 15, 21, 10, 10, 11, 10, 22, 16, 15]"
21,40759,21,validation,"[37, 59, 38, 58, 53, 26, 28, 38, 59, 46, 43, 62, 62, 35, 34, 56, 63, 87, 122, 155, 69]"
22,41830,21,validation,"[19, 14, 16, 15, 22, 9, 20, 3, 17, 15, 12, 20, 8, 7, 24, 28, 14, 13, 20, 17, 25]"
23,42424,21,validation,"[39, 61, 37, 41, 61, 59, 17, 13, 24, 33, 12, 22, 23, 27, 23, 28, 33, 58, 41, 62, 27]"
24,42496,21,test,"[36, 35, 37, 39, 42, 30, 26, 19, 11, 22, 22, 45, 22, 32, 24, 20, 38, 102, 29, 43, 47]"
25,43630,21,test,"[32, 22, 36, 52, 25, 49, 13, 9, 31, 20, 21, 33, 24, 31, 25, 27, 29, 39, 22, 22, 21]"
26,43657,21,validation,"[8, 9, 6, 11, 16, 23, 3, 3, 12, 4, 3, 4, 14, 9, 8, 5, 9, 9, 7, 10, 13]"
27,43738,21,test,"[25, 30, 28, 17, 17, 31, 10, 10, 11, 13, 8, 13, 5, 11, 12, 27, 17, 19, 18, 24, 12]"
28,48940,21,test,"[21, 25, 9, 28, 17, 16, 19, 2, 10, 16, 8, 12, 12, 12, 18, 18, 11, 6, 12, 23, 18]"
29,50785,21,validation,"[5, 19, 29, 33, 10, 65, 38, 9, 18, 5, 10, 22, 28, 12, 21, 24, 10, 15, 7, 7, 6]"
30,52099,21,test,"[4, 11, 4, 8, 5, 6, 7, 9, 7, 7, 5, 5, 15, 29, 4, 4, 13, 4, 3, 2, 7]"
31,57058,21,test,"[3, 7, 16, 12, 12, 5, 2, 5, 11, 6, 4, 2, 5, 10, 4, 7, 3, 13, 4, 3, 13]"
32,59047,20,validation,"[8, 37, 8, 16, 7, 4, 3, 5, 4, 1, 17, 15, 3, 9, 0, 8, 12, 11, 8, 2]"
