CategoryCode,ItemCode,DateID,DailySales
category_1,379249,2022-02-13,4
category_1,379249,2022-02-04,4
category_1,379249,2021-12-17,13
category_1,379249,2021-10-23,4
category_1,379249,2022-01-13,13
category_1,379249,2022-01-28,40
category_1,379249,2021-11-25,2
category_1,379249,2022-02-08,7
category_1,379249,2021-11-12,6
category_1,379249,2021-10-24,3
category_1,379249,2021-10-16,2
category_1,379249,2022-01-30,5
category_1,379249,2022-01-02,18
category_1,379249,2022-01-29,23
category_1,379249,2021-10-22,3
category_1,379249,2022-02-03,12
category_1,379249,2021-11-11,6
category_1,379249,2021-10-20,1
category_1,379249,2021-10-07,1
category_1,379249,2021-10-01,1
category_1,379249,2021-10-19,6
category_1,379249,2022-01-03,39
category_1,379249,2021-10-21,6
category_1,379249,2021-10-03,2
category_1,379249,2021-10-15,5
category_1,379249,2021-10-11,9
category_1,379249,2021-10-05,2
category_1,379249,2021-12-23,8
category_1,379249,2022-02-05,2
category_1,379249,2022-01-01,25
category_1,379249,2022-01-14,1
category_1,379249,2022-02-06,8
category_1,379249,2021-12-30,58
category_1,379249,2021-12-02,10
category_1,379249,2022-02-16,2
category_1,379249,2021-10-02,4
category_1,379249,2021-11-19,5
category_1,379249,2022-01-21,6
category_1,379249,2021-12-10,9
category_1,379249,2022-02-14,10
category_1,379249,2021-10-10,10
category_1,379249,2021-12-31,10
category_1,379249,2021-12-24,12
category_1,379249,2021-11-26,6
category_1,379249,2022-01-20,6
category_1,379249,2022-02-01,6
category_1,379249,2022-02-02,48
category_1,379249,2021-12-16,14
category_1,379249,2022-01-31,4
category_1,379249,2022-02-15,13
category_1,379249,2022-02-07,1
category_1,379249,2021-12-03,8
category_1,379249,2021-10-14,2
category_1,379249,2021-10-26,5
category_1,379249,2021-10-08,3
category_1,379249,2021-10-06,3
category_1,379249,2021-10-29,5
category_1,379249,2021-10-09,4
category_1,379249,2021-10-18,7
category_1,379249,2021-10-27,2
category_1,379249,2022-01-27,10
category_1,379249,2022-02-17,21
category_1,379249,2021-12-09,6
category_1,379249,2021-10-17,5
category_1,379249,2022-01-04,4
category_1,379249,2021-11-18,1
category_1,379249,2021-11-04,4
category_1,379249,2021-11-05,7
category_1,379249,2021-10-28,3
category_1,379249,2021-10-25,6
category_1,379249,2021-10-13,11
category_1,379249,2021-10-04,3
category_1,379249,2021-10-12,1
category_3,1066570,2022-02-13,5
category_3,1066570,2021-12-19,7
category_3,1066570,2021-12-17,3
category_3,1066570,2022-02-09,8
category_3,1066570,2022-01-13,1
category_3,1066570,2021-12-04,5
category_3,1066570,2021-11-25,10
category_3,1066570,2021-12-07,4
category_3,1066570,2021-11-12,2
category_3,1066570,2021-12-01,2
category_3,1066570,2021-12-25,7
category_3,1066570,2022-01-02,1
category_3,1066570,2021-10-22,13
category_3,1066570,2021-12-26,7
category_3,1066570,2021-11-28,4
category_3,1066570,2021-12-12,3
category_3,1066570,2021-11-11,15
category_3,1066570,2021-10-07,27
category_3,1066570,2021-10-01,18
category_3,1066570,2022-01-03,4
category_3,1066570,2021-10-15,3
category_3,1066570,2021-10-21,11
category_3,1066570,2022-01-01,4
category_3,1066570,2021-12-23,4
category_3,1066570,2021-12-11,6
category_3,1066570,2021-12-05,6
category_3,1066570,2021-12-18,5
category_3,1066570,2021-12-30,6
category_3,1066570,2022-01-14,5
category_3,1066570,2021-12-02,4
category_3,1066570,2021-12-08,1
category_3,1066570,2022-02-16,6
category_3,1066570,2021-11-19,32
category_3,1066570,2021-11-29,5
category_3,1066570,2021-12-21,16
category_3,1066570,2022-01-21,14
category_3,1066570,2022-02-10,9
category_3,1066570,2021-12-10,7
category_3,1066570,2022-02-14,12
category_3,1066570,2021-12-13,7
category_3,1066570,2021-12-24,3
category_3,1066570,2021-12-31,44
category_3,1066570,2021-11-26,5
category_3,1066570,2021-12-16,3
category_3,1066570,2021-12-27,17
category_3,1066570,2022-02-15,4
category_3,1066570,2021-12-15,32
category_3,1066570,2021-12-28,11
category_3,1066570,2021-12-20,10
category_3,1066570,2021-12-03,12
category_3,1066570,2021-12-29,2
category_3,1066570,2021-10-14,1
category_3,1066570,2021-10-08,38
category_3,1066570,2021-10-29,26
category_3,1066570,2021-11-27,19
category_3,1066570,2022-02-11,11
category_3,1066570,2022-02-17,2
category_3,1066570,2021-12-09,6
category_3,1066570,2022-01-04,4
category_3,1066570,2021-11-18,4
category_3,1066570,2021-11-30,2
category_3,1066570,2021-11-04,14
category_3,1066570,2021-11-05,8
category_3,1066570,2021-12-06,6
category_3,1066570,2021-10-28,22
category_2,124954,2021-12-19,2
category_2,124954,2022-02-04,5
category_2,124954,2021-12-17,3
category_2,124954,2021-10-23,1
category_2,124954,2021-12-04,3
category_2,124954,2022-01-28,4
category_2,124954,2022-01-13,2
category_2,124954,2021-12-22,1
category_2,124954,2021-11-25,5
category_2,124954,2021-12-07,4
category_2,124954,2021-10-16,3
category_2,124954,2021-11-12,4
category_2,124954,2021-12-01,2
category_2,124954,2021-12-25,1
category_2,124954,2022-01-02,1
category_2,124954,2021-10-22,5
category_2,124954,2021-12-26,1
category_2,124954,2021-11-28,5
category_2,124954,2021-12-12,2
category_2,124954,2022-02-03,6
category_2,124954,2021-11-11,5
category_2,124954,2021-10-20,4
category_2,124954,2021-10-01,2
category_2,124954,2022-01-03,2
category_2,124954,2021-10-19,2
category_2,124954,2021-10-21,2
category_2,124954,2021-10-03,2
category_2,124954,2021-10-11,2
category_2,124954,2021-10-05,1
category_2,124954,2021-12-11,2
category_2,124954,2021-12-23,4
category_2,124954,2022-01-01,2
category_2,124954,2021-12-18,5
category_2,124954,2021-12-05,1
category_2,124954,2022-01-14,3
category_2,124954,2021-12-30,3
category_2,124954,2021-12-02,2
category_2,124954,2021-12-08,2
category_2,124954,2021-10-02,3
category_2,124954,2021-11-29,3
category_2,124954,2021-11-19,6
category_2,124954,2021-12-21,2
category_2,124954,2022-02-10,6
category_2,124954,2021-12-10,1
category_2,124954,2021-12-13,2
category_2,124954,2021-12-31,4
category_2,124954,2021-12-24,2
category_2,124954,2022-01-20,1
category_2,124954,2021-11-26,4
category_2,124954,2021-12-16,3
category_2,124954,2021-12-14,1
category_2,124954,2021-12-27,3
category_2,124954,2021-12-15,3
category_2,124954,2021-12-28,2
category_2,124954,2021-12-20,1
category_2,124954,2021-12-03,2
category_2,124954,2021-12-29,2
category_2,124954,2021-10-26,3
category_2,124954,2021-10-14,4
category_2,124954,2021-10-08,3
category_2,124954,2021-10-06,2
category_2,124954,2021-10-29,5
category_2,124954,2021-10-18,4
category_2,124954,2021-10-27,2
category_2,124954,2022-01-27,5
category_2,124954,2022-02-17,8
category_2,124954,2021-11-27,3
category_2,124954,2022-02-11,8
category_2,124954,2021-12-09,2
category_2,124954,2021-11-18,9
category_2,124954,2022-01-04,4
category_2,124954,2021-11-30,2
category_2,124954,2021-12-06,1
category_2,124954,2021-11-05,8
category_2,124954,2021-11-04,5
category_2,124954,2021-10-28,3
category_2,124954,2021-10-25,3
category_2,124954,2021-10-13,3
category_2,124954,2021-10-04,3
category_2,124954,2021-10-12,1
category_1,35530,2022-02-13,1
category_1,35530,2021-12-19,1
category_1,35530,2021-11-13,1
category_1,35530,2022-01-06,2
category_1,35530,2022-02-09,16
category_1,35530,2021-11-09,1
category_1,35530,2021-12-22,1
category_1,35530,2021-12-04,2
category_1,35530,2022-01-13,6
category_1,35530,2021-11-25,8
category_1,35530,2022-01-05,1
category_1,35530,2021-12-07,10
category_1,35530,2021-11-10,12
category_1,35530,2022-01-08,3
category_1,35530,2022-01-09,5
category_1,35530,2022-01-29,1
category_1,35530,2021-12-25,1
category_1,35530,2022-01-02,2
category_1,35530,2022-01-30,1
category_1,35530,2021-10-22,2
category_1,35530,2022-01-16,2
category_1,35530,2022-01-22,1
category_1,35530,2021-11-01,1
category_1,35530,2021-11-23,2
category_1,35530,2021-10-07,11
category_1,35530,2022-01-03,2
category_1,35530,2021-11-22,8
category_1,35530,2021-10-21,2
category_1,35530,2021-11-15,2
category_1,35530,2021-10-15,2
category_1,35530,2021-12-23,2
category_1,35530,2022-01-01,2
category_1,35530,2021-12-30,1
category_1,35530,2022-01-26,11
category_1,35530,2021-11-29,2
category_1,35530,2021-11-19,1
category_1,35530,2021-11-07,2
category_1,35530,2021-12-21,10
category_1,35530,2022-02-10,5
category_1,35530,2022-02-14,2
category_1,35530,2021-12-24,2
category_1,35530,2022-01-20,4
category_1,35530,2021-11-26,1
category_1,35530,2022-01-12,1
category_1,35530,2021-12-16,3
category_1,35530,2022-01-10,7
category_1,35530,2021-11-14,4
category_1,35530,2022-02-15,7
category_1,35530,2021-12-28,2
category_1,35530,2021-12-15,3
category_1,35530,2021-12-03,1
category_1,35530,2022-01-11,1
category_1,35530,2021-12-29,1
category_1,35530,2021-10-14,2
category_1,35530,2021-10-08,1
category_1,35530,2021-10-29,12
category_1,35530,2022-01-25,3
category_1,35530,2021-11-27,1
category_1,35530,2022-01-18,5
category_1,35530,2021-12-09,9
category_1,35530,2022-01-04,3
category_1,35530,2021-12-06,2
category_1,35530,2021-11-30,1
category_3,1013335,2021-12-19,2
category_3,1013335,2021-12-17,1
category_3,1013335,2022-02-09,3
category_3,1013335,2021-10-23,4
category_3,1013335,2021-12-04,2
category_3,1013335,2022-01-13,3
category_3,1013335,2022-01-28,3
category_3,1013335,2022-02-08,1
category_3,1013335,2021-12-07,1
category_3,1013335,2021-10-16,3
category_3,1013335,2022-01-02,1
category_3,1013335,2022-01-30,1
category_3,1013335,2021-12-26,1
category_3,1013335,2022-02-03,2
category_3,1013335,2021-11-28,4
