,ItemCode,level_1,raw,interpolated
0,7666,2021-10-01,14.0,14.0
1,7666,2021-10-02,,9.083248532432531
2,7666,2021-10-03,,9.929992972774455
3,7666,2021-10-04,,10.77673741311638
4,7666,2021-10-05,,11.623481853458305
5,7666,2021-10-06,,12.47022629380023
6,7666,2021-10-07,11.0,11.0
7,7666,2021-10-08,23.0,23.0
8,7666,2021-10-09,,14.551153311855428
9,7666,2021-10-10,,14.667917834261218
10,7666,2021-10-11,,14.784682356667005
11,7666,2021-10-12,,14.901446879072795
12,7666,2021-10-13,,15.018211401478585
13,7666,2021-10-14,12.0,12.0
14,7666,2021-10-15,15.0,15.0
15,7666,2021-10-16,,16.173167752378223
16,7666,2021-10-17,,16.728360278870785
17,7666,2021-10-18,,17.283552805363346
18,7666,2021-10-19,,17.838745331855907
19,7666,2021-10-20,,18.39393785834847
20,7666,2021-10-21,17.0,17.0
21,7666,2021-10-22,37.0,37.0
22,7666,2021-10-23,,18.497635982659467
23,7666,2021-10-24,,17.263247357313087
24,7666,2021-10-25,,16.028858731966707
25,7666,2021-10-26,,14.794470106620327
26,7666,2021-10-27,,13.560081481273947
27,7666,2021-10-28,21.0,21.0
28,7666,2021-10-29,1.0,1.0
29,7666,2021-10-30,,8.890718723951757
30,7666,2021-10-31,2.0,2.0
31,7666,2021-11-01,,7.182544611266069
32,7666,2021-11-02,5.0,5.0
33,7666,2021-11-03,,6.334776413523776
34,7666,2021-11-04,6.0,6.0
35,7666,2021-11-05,,5.682049047507932
36,7666,2021-11-06,,5.3561496423570505
37,7666,2021-11-07,4.0,4.0
38,7666,2021-11-08,5.0,5.0
39,7666,2021-11-09,3.0,3.0
40,7666,2021-11-10,,4.559426025966928
41,7666,2021-11-11,,4.5201665514937055
42,7666,2021-11-12,,4.480907077020483
43,7666,2021-11-13,,4.44164760254726
44,7666,2021-11-14,2.0,2.0
45,7666,2021-11-15,3.0,3.0
46,7666,2021-11-16,2.0,2.0
47,7666,2021-11-17,,5.870112407361557
48,7666,2021-11-18,,6.663021009714496
49,7666,2021-11-19,8.0,8.0
50,7666,2021-11-20,15.0,15.0
51,7666,2021-11-21,2.0,2.0
52,7666,2021-11-22,6.0,6.0
53,7666,2021-11-23,14.0,14.0
54,7666,2021-11-24,,10.21102713390041
