,ItemCode,level_1,raw,interpolated
0,3418,2021-10-01,18.0,18.0
1,3418,2021-10-02,3.0,3.0
2,3418,2021-10-03,8.0,8.0
3,3418,2021-10-04,2.0,2.0
4,3418,2021-10-05,4.0,4.0
5,3418,2021-10-06,2.0,2.0
6,3418,2021-10-07,8.0,8.0
7,3418,2021-10-08,12.0,12.0
8,3418,2021-10-09,,7.8800898846300615
9,3418,2021-10-10,14.0,14.0
10,3418,2021-10-11,2.0,2.0
11,3418,2021-10-12,9.0,9.0
12,3418,2021-10-13,8.0,8.0
13,3418,2021-10-14,5.0,5.0
14,3418,2021-10-15,15.0,15.0
15,3418,2021-10-16,2.0,2.0
16,3418,2021-10-17,,7.511985923307402
17,3418,2021-10-18,14.0,14.0
18,3418,2021-10-19,4.0,4.0
19,3418,2021-10-20,12.0,12.0
20,3418,2021-10-21,2.0,2.0
21,3418,2021-10-22,1.0,1.0
22,3418,2021-10-23,6.0,6.0
23,3418,2021-10-24,2.0,2.0
24,3418,2021-10-25,13.0,13.0
25,3418,2021-10-26,5.0,5.0
26,3418,2021-10-27,5.0,5.0
27,3418,2021-10-28,6.0,6.0
28,3418,2021-10-29,10.0,10.0
29,3418,2021-10-30,2.0,2.0
30,3418,2021-10-31,3.0,3.0
31,3418,2021-11-01,8.0,8.0
32,3418,2021-11-02,12.0,12.0
33,3418,2021-11-03,8.0,8.0
34,3418,2021-11-04,10.0,10.0
35,3418,2021-11-05,7.0,7.0
36,3418,2021-11-06,1.0,1.0
37,3418,2021-11-07,,6.984755268212645
38,3418,2021-11-08,14.0,14.0
39,3418,2021-11-09,3.0,3.0
40,3418,2021-11-10,6.0,6.0
41,3418,2021-11-11,7.0,7.0
42,3418,2021-11-12,3.0,3.0
43,3418,2021-11-13,5.0,5.0
44,3418,2021-11-14,5.0,5.0
45,3418,2021-11-15,7.0,7.0
46,3418,2021-11-16,20.0,20.0
47,3418,2021-11-17,10.0,10.0
48,3418,2021-11-18,,9.308256452640155
49,3418,2021-11-19,12.0,12.0
50,3418,2021-11-20,,8.944032230692049
51,3418,2021-11-21,,8.644682034873247
52,3418,2021-11-22,2.0,2.0
53,3418,2021-11-23,10.0,10.0
54,3418,2021-11-24,6.0,6.0
55,3418,2021-11-25,17.0,17.0
56,3418,2021-11-26,7.0,7.0
57,3418,2021-11-27,5.0,5.0
58,3418,2021-11-28,7.0,7.0
59,3418,2021-11-29,6.0,6.0
60,3418,2021-11-30,6.0,6.0
61,3418,2021-12-01,13.0,13.0
62,3418,2021-12-02,14.0,14.0
63,3418,2021-12-03,9.0,9.0
64,3418,2021-12-04,12.0,12.0
65,3418,2021-12-05,9.0,9.0
66,3418,2021-12-06,25.0,25.0
67,3418,2021-12-07,11.0,11.0
68,3418,2021-12-08,6.0,6.0
69,3418,2021-12-09,16.0,16.0
70,3418,2021-12-10,12.0,12.0
71,3418,2021-12-11,20.0,20.0
72,3418,2021-12-12,11.0,11.0
73,3418,2021-12-13,12.0,12.0
74,3418,2021-12-14,15.0,15.0
75,3418,2021-12-15,4.0,4.0
76,3418,2021-12-16,24.0,24.0
77,3418,2021-12-17,3.0,3.0
78,3418,2021-12-18,13.0,13.0
79,3418,2021-12-19,2.0,2.0
80,3418,2021-12-20,7.0,7.0
81,3418,2021-12-21,19.0,19.0
82,3418,2021-12-22,1.0,1.0
83,3418,2021-12-23,16.0,16.0
84,3418,2021-12-24,19.0,19.0
85,3418,2021-12-25,9.0,9.0
86,3418,2021-12-26,4.0,4.0
87,3418,2021-12-27,6.0,6.0
88,3418,2021-12-28,6.0,6.0
89,3418,2021-12-29,10.0,10.0
90,3418,2021-12-30,11.0,11.0
91,3418,2021-12-31,6.0,6.0
92,3418,2022-01-01,4.0,4.0
93,3418,2022-01-02,13.0,13.0
94,3418,2022-01-03,9.0,9.0
95,3418,2022-01-04,26.0,26.0
96,3418,2022-01-05,2.0,2.0
97,3418,2022-01-06,20.0,20.0
98,3418,2022-01-07,20.0,20.0
99,3418,2022-01-08,3.0,3.0
100,3418,2022-01-09,3.0,3.0
101,3418,2022-01-10,7.0,7.0
102,3418,2022-01-11,7.0,7.0
103,3418,2022-01-12,14.0,14.0
104,3418,2022-01-13,28.0,28.0
105,3418,2022-01-14,8.0,8.0
106,3418,2022-01-15,9.0,9.0
107,3418,2022-01-16,12.0,12.0
108,3418,2022-01-17,18.0,18.0
109,3418,2022-01-18,,13.417093086783208
110,3418,2022-01-19,16.0,16.0
111,3418,2022-01-20,12.0,12.0
112,3418,2022-01-21,18.0,18.0
113,3418,2022-01-22,8.0,8.0
114,3418,2022-01-23,17.0,17.0
115,3418,2022-01-24,15.0,15.0
116,3418,2022-01-25,2.0,2.0
117,3418,2022-01-26,3.0,3.0
118,3418,2022-01-27,19.0,19.0
119,3418,2022-01-28,7.0,7.0
120,3418,2022-01-29,9.0,9.0
121,3418,2022-01-30,12.0,12.0
122,3418,2022-01-31,22.0,22.0
123,3418,2022-02-01,7.0,7.0
124,3418,2022-02-02,17.0,17.0
125,3418,2022-02-03,29.0,29.0
126,3418,2022-02-04,10.0,10.0
127,3418,2022-02-05,11.0,11.0
128,3418,2022-02-06,13.0,13.0
129,3418,2022-02-07,6.0,6.0
130,3418,2022-02-08,7.0,7.0
131,3418,2022-02-09,26.0,26.0
132,3418,2022-02-10,9.0,9.0
133,3418,2022-02-11,2.0,2.0
134,3418,2022-02-12,19.0,19.0
135,3418,2022-02-13,3.0,3.0
136,3427,2022-01-09,3.0,3.0
137,3427,2022-01-10,4.0,4.0
138,3427,2022-01-11,13.0,13.0
139,3427,2022-01-12,,7.262482324472646
140,3427,2022-01-13,9.0,9.0
141,3427,2022-01-14,2.0,2.0
142,3427,2022-01-15,3.0,3.0
143,3427,2022-01-16,1.0,1.0
144,3427,2022-01-17,9.0,9.0
145,3427,2022-01-18,9.0,9.0
146,3427,2022-01-19,9.0,9.0
