CategoryCode,ItemCode,DateID,DailySales,DOW,WOY,DOY
category_2,117610,2021-11-06,7,5,44,310
category_4,836584,2021-11-18,16,3,46,322
category_1,370195,2022-01-24,6,0,4,24
category_2,172582,2021-10-30,5,5,43,303
category_2,1006009,2021-10-30,5,5,43,303
category_2,903976,2022-01-06,1,3,1,6
category_1,145978,2021-10-30,3,5,43,303
category_1,1061341,2022-01-24,5,0,4,24
category_1,371239,2022-01-05,1,2,1,5
category_2,865933,2022-02-08,3,1,6,39
category_3,1081087,2022-01-04,1,1,1,4
category_1,1061341,2021-12-07,8,1,49,341
category_1,1032550,2021-10-30,1,5,43,303
category_2,1090249,2021-10-23,3,5,42,296
category_3,169504,2022-01-05,120,2,1,5
category_2,1067092,2021-11-06,8,5,44,310
category_1,1054978,2022-02-08,7,1,6,39
category_1,1050046,2021-10-30,3,5,43,303
category_1,1044610,2021-12-07,2,1,49,341
category_2,138742,2022-02-08,9,1,6,39
category_2,815101,2021-11-06,4,5,44,310
category_1,59047,2021-12-07,2,1,49,341
category_2,39436,2021-11-12,2,4,45,316
category_1,379249,2022-01-24,13,0,4,24
category_1,1048975,2022-01-06,2,3,1,6
category_2,213802,2022-01-06,1,3,1,6
category_2,877624,2022-01-04,2,1,1,4
category_1,371239,2021-11-18,4,3,46,322
category_4,1060909,2021-12-07,39,1,49,341
category_2,1103056,2021-11-17,3,2,46,321
category_2,836125,2021-11-17,13,2,46,321
category_4,1060909,2022-01-05,11,2,1,5
category_1,43657,2022-01-05,1,2,1,5
category_3,131983,2021-11-17,8,2,46,321
category_2,1098493,2021-10-23,2,5,42,296
category_1,76399,2021-11-17,16,2,46,321
category_1,1032559,2022-01-04,5,1,1,4
category_1,38518,2022-01-06,3,3,1,6
category_2,1010068,2021-12-09,18,3,49,343
category_2,1076938,2022-01-24,7,0,4,24
category_1,1044691,2022-02-09,2,2,6,40
category_2,64978,2022-02-09,1,2,6,40
category_4,1060909,2021-10-23,16,5,42,296
category_2,172033,2021-11-06,28,5,44,310
category_3,1090024,2021-10-30,3,5,43,303
category_3,169504,2022-01-04,109,1,1,4
category_2,1067074,2021-11-06,4,5,44,310
category_1,1021264,2021-12-07,1,1,49,341
category_1,76399,2021-12-09,4,3,49,343
category_2,1071106,2021-11-06,1,5,44,310
category_2,30877,2021-11-06,10,5,44,310
category_3,1047130,2022-01-06,5,3,1,6
category_2,118033,2021-12-09,1,3,49,343
category_1,48940,2022-02-09,2,2,6,40
category_2,110320,2021-11-17,5,2,46,321
category_1,145978,2021-12-09,4,3,49,343
category_2,1006108,2022-01-05,20,2,1,5
category_3,1101661,2021-10-30,11,5,43,303
category_2,1064473,2022-02-08,1,1,6,39
category_1,1050046,2021-12-09,1,3,49,343
category_1,839374,2022-02-09,8,2,6,40
category_2,877624,2021-11-06,2,5,44,310
category_4,1003192,2022-02-09,11,2,6,40
category_1,1047967,2022-01-04,14,1,1,4
category_2,59749,2022-01-06,7,3,1,6
category_2,1044502,2021-11-18,4,3,46,322
category_2,174436,2021-10-23,15,5,42,296
category_2,110320,2021-11-18,5,3,46,322
category_2,1044502,2021-10-30,1,5,43,303
category_2,838456,2021-10-30,6,5,43,303
category_1,42424,2022-01-05,2,2,1,5
category_2,43630,2021-12-07,8,1,49,341
category_2,913561,2022-02-08,2,1,6,39
category_2,745945,2021-11-12,8,4,45,316
category_2,262384,2022-01-24,1,0,4,24
category_1,36898,2022-01-24,7,0,4,24
category_2,1006090,2022-02-08,5,1,6,39
category_1,839374,2022-01-05,6,2,1,5
category_2,1090240,2021-10-30,1,5,43,303
category_1,1032532,2022-01-06,8,3,1,6
category_2,87046,2021-12-09,3,3,49,343
category_4,1024810,2021-12-09,2,3,49,343
category_1,59047,2021-11-18,1,3,46,322
category_2,130993,2022-02-08,7,1,6,39
category_1,42424,2021-11-18,1,3,46,322
category_1,24136,2022-01-24,10,0,4,24
category_3,131983,2022-01-05,10,2,1,5
category_4,123307,2022-02-09,2,2,6,40
category_1,36898,2021-10-23,12,5,42,296
category_1,379249,2021-10-30,3,5,43,303
category_2,20824,2022-02-08,26,1,6,39
category_2,57058,2021-11-12,2,4,45,316
category_1,3427,2021-11-12,7,4,45,316
category_3,1090024,2021-11-12,2,4,45,316
category_2,32245,2022-02-09,2,2,6,40
category_3,16936,2021-11-17,4,2,46,321
category_3,1060630,2022-01-05,2,2,1,5
category_1,1048975,2021-11-18,3,3,46,322
category_2,41830,2022-02-09,2,2,6,40
category_1,36898,2022-01-05,7,2,1,5
category_2,1067074,2022-01-24,3,0,4,24
category_1,1047967,2021-11-18,12,3,46,322
category_1,1054978,2021-10-30,4,5,43,303
category_2,837943,2022-01-24,14,0,4,24
category_4,1074823,2021-11-12,40,4,45,316
category_3,1066570,2021-11-12,2,4,45,316
category_2,836125,2022-01-06,5,3,1,6
category_2,173617,2021-12-09,4,3,49,343
category_1,1044682,2022-01-06,5,3,1,6
category_2,1103056,2021-12-07,5,1,49,341
category_2,1071106,2021-11-17,2,2,46,321
category_2,75886,2022-01-04,1,1,1,4
category_3,169504,2021-11-17,128,2,46,321
category_4,753613,2021-10-23,2,5,42,296
category_2,111382,2022-01-06,2,3,1,6
category_1,1032541,2021-12-07,19,1,49,341
category_1,371104,2022-02-09,5,2,6,40
category_4,123307,2022-01-06,99,3,1,6
category_2,210868,2022-01-24,3,0,4,24
category_3,37861,2022-01-06,6,3,1,6
category_1,42496,2021-10-30,5,5,43,303
category_2,1090276,2022-01-24,1,0,4,24
category_4,1003156,2021-12-09,8,3,49,343
category_3,1081087,2021-12-09,1,3,49,343
category_2,1101769,2022-02-08,3,1,6,39
category_2,1090258,2022-02-09,7,2,6,40
category_1,1056463,2021-11-12,3,4,45,316
category_2,87559,2021-11-18,5,3,46,322
category_2,1098493,2021-11-06,1,5,44,310
category_2,30877,2022-02-09,7,2,6,40
category_1,1032532,2022-01-24,10,0,4,24
category_2,59749,2021-11-18,8,3,46,322
category_2,172033,2022-01-24,7,0,4,24
category_2,41830,2021-12-09,2,3,49,343
category_1,1048975,2021-11-06,2,5,44,310
category_2,87559,2021-11-12,3,4,45,316
category_1,142756,2022-01-24,19,0,4,24
category_4,1003156,2021-12-07,6,1,49,341
category_1,59047,2021-12-09,4,3,49,343
category_1,1075651,2021-11-06,3,5,44,310
category_1,42496,2021-12-09,4,3,49,343
category_1,42424,2022-01-06,9,3,1,6
category_2,267478,2021-11-18,2,3,46,322
category_1,76399,2022-01-24,3,0,4,24
category_1,3427,2021-12-07,4,1,49,341
category_1,371104,2021-11-18,2,3,46,322
category_1,370195,2021-12-07,10,1,49,341
category_2,30877,2021-10-30,3,5,43,303
category_1,416212,2021-11-17,1,2,46,321
category_3,1090024,2021-10-23,5,5,42,296
category_3,1063600,2022-01-05,1,2,1,5
category_2,59749,2022-01-05,7,2,1,5
category_2,1064473,2021-11-18,7,3,46,322
category_2,20824,2022-01-05,14,2,1,5
category_1,1054978,2021-10-23,14,5,42,296
category_3,1097143,2022-01-04,6,1,1,4
category_2,1101769,2021-10-30,5,5,43,303
category_1,1067119,2021-11-17,2,2,46,321
category_2,23569,2021-10-23,1,5,42,296
category_2,132028,2021-11-17,19,2,46,321
category_1,37510,2021-12-09,3,3,49,343
category_4,23200,2021-10-30,24,5,43,303
category_1,1061341,2021-11-06,18,5,44,310
category_2,132028,2022-01-06,23,3,1,6
category_1,86992,2021-10-30,5,5,43,303
category_2,57058,2021-11-18,1,3,46,322
category_2,110320,2022-01-04,2,1,1,4
category_2,1064473,2021-12-07,2,1,49,341
category_3,1060630,2021-11-12,3,4,45,316
category_2,1067074,2021-10-30,9,5,43,303
category_2,110320,2022-01-24,9,0,4,24
category_2,906586,2022-01-24,2,0,4,24
category_4,245581,2022-01-24,71,0,4,24
category_1,1050046,2022-01-04,3,1,1,4
category_1,17296,2021-10-30,60,5,43,303
category_2,32245,2022-02-08,2,1,6,39
category_1,119554,2022-01-24,17,0,4,24
category_2,75886,2022-02-08,1,1,6,39
category_3,1101661,2021-11-17,22,2,46,321
category_2,1006108,2022-02-09,1,2,6,40
category_2,1064473,2022-01-05,7,2,1,5
category_2,1071115,2021-11-12,2,4,45,316
category_1,1047967,2022-01-06,11,3,1,6
category_1,17287,2021-11-06,7,5,44,310
category_3,88450,2021-11-18,11,3,46,322
category_2,1090249,2022-01-04,11,1,1,4
category_1,1032559,2021-12-07,1,1,49,341
category_2,132028,2021-12-07,21,1,49,341
category_1,839374,2022-01-04,8,1,1,4
category_2,1101571,2021-10-30,1,5,43,303
category_2,1105018,2022-01-04,2,1,1,4
category_1,36898,2022-01-04,2,1,1,4
category_2,211309,2022-01-05,3,2,1,5
category_2,1026871,2021-11-17,3,2,46,321
category_1,35530,2021-12-09,9,3,49,343
category_3,169504,2022-01-24,319,0,4,24
category_1,1054978,2021-11-17,4,2,46,321
category_3,1066570,2021-10-30,12,5,43,303
category_1,1058713,2021-12-07,6,1,49,341
category_2,1067074,2021-12-09,11,3,49,343
category_3,131983,2022-02-09,10,2,6,40
category_2,30877,2021-12-07,18,1,49,341
category_4,1003147,2022-01-06,12,3,1,6
category_1,119554,2021-11-18,20,3,46,322
category_1,86992,2022-01-24,14,0,4,24
category_2,1105018,2022-01-24,4,0,4,24
category_2,172582,2022-02-09,2,2,6,40
category_4,1024810,2021-11-12,12,4,45,316
category_2,138742,2021-11-18,4,3,46,322
category_2,1101562,2022-01-05,2,2,1,5
category_2,124954,2022-01-24,1,0,4,24
category_4,245581,2021-12-07,2,1,49,341
category_1,1032541,2022-02-09,4,2,6,40
category_2,1067092,2021-12-07,7,1,49,341
category_1,17296,2021-11-18,89,3,46,322
category_2,32245,2022-01-24,10,0,4,24
category_1,1032541,2022-02-08,6,1,6,39
category_3,893824,2021-11-06,4,5,44,310
category_1,48940,2021-10-30,5,5,43,303
category_1,48940,2021-12-07,2,1,49,341
category_2,1101571,2021-11-12,2,4,45,316
category_1,1032586,2021-12-09,3,3,49,343
category_1,1044682,2021-12-09,6,3,49,343
category_4,1082743,2022-02-09,9,2,6,40
category_1,17296,2022-01-04,52,1,1,4
category_2,211309,2021-10-30,1,5,43,303
category_2,30877,2021-10-23,1,5,42,296
category_4,731104,2021-11-18,2,3,46,322
category_1,145330,2021-12-07,1,1,49,341
category_3,1081087,2021-10-23,4,5,42,296
category_2,9925,2022-02-08,13,1,6,39
category_1,145978,2021-10-23,4,5,42,296
category_2,399220,2022-02-08,6,1,6,39
category_2,837943,2022-02-09,10,2,6,40
category_2,39436,2021-11-18,3,3,46,322
category_2,399220,2022-01-06,2,3,1,6
category_2,1067092,2021-11-17,21,2,46,321
category_1,1068883,2022-01-05,1,2,1,5
category_3,1081060,2021-10-30,15,5,43,303
category_2,86974,2022-01-06,3,3,1,6
category_4,1003156,2022-01-04,4,1,1,4
category_2,216151,2021-10-23,5,5,42,296
category_1,35530,2022-01-04,3,1,1,4
category_2,172033,2021-11-18,19,3,46,322
category_2,1067092,2022-01-04,19,1,1,4
category_2,124954,2021-11-18,9,3,46,322
category_2,1076920,2021-11-17,4,2,46,321
category_3,88450,2021-12-07,38,1,49,341
category_2,1101562,2021-11-17,2,2,46,321
category_1,1047967,2021-11-12,20,4,45,316
category_1,1085749,2021-10-30,4,5,43,303
category_4,123307,2021-11-17,41,2,46,321
category_1,119554,2022-01-06,16,3,1,6
category_3,1047130,2021-10-23,12,5,42,296
category_2,1064473,2021-10-30,13,5,43,303
category_1,1048975,2021-11-17,5,2,46,321
category_1,379249,2021-12-09,6,3,49,343
category_3,1060630,2021-12-07,4,1,49,341
category_1,86992,2022-02-08,27,1,6,39
category_2,837943,2021-11-18,9,3,46,322
category_2,118033,2021-11-06,3,5,44,310
category_3,1060630,2021-11-06,7,5,44,310
category_2,23569,2022-01-24,4,0,4,24
category_2,1070836,2022-02-09,4,2,6,40
category_1,1044682,2021-11-17,13,2,46,321
category_2,75886,2021-10-30,3,5,43,303
category_4,245581,2021-11-12,10,4,45,316
category_1,1084498,2022-01-05,3,2,1,5
category_1,1067128,2022-02-09,2,2,6,40
category_1,1047967,2021-12-09,3,3,49,343
category_1,17287,2022-01-05,6,2,1,5
category_2,32245,2021-12-09,15,3,49,343
category_3,1090024,2022-01-04,5,1,1,4
category_1,119554,2022-01-04,21,1,1,4
category_3,1047130,2022-02-08,7,1,6,39
category_3,88450,2022-02-09,52,2,6,40
category_1,1044691,2021-12-09,2,3,49,343
category_1,1050046,2022-01-06,42,3,1,6
category_4,836584,2021-10-23,11,5,42,296
category_1,1058713,2021-11-06,2,5,44,310
category_2,124954,2022-02-08,5,1,6,39
category_1,24136,2022-02-09,1,2,6,40
category_2,172033,2022-01-06,2,3,1,6
category_3,1097143,2022-01-24,4,0,4,24
category_1,1032568,2021-10-30,1,5,43,303
category_4,1003183,2022-01-06,1,3,1,6
category_2,1090276,2021-11-18,5,3,46,322
category_3,1081060,2022-01-06,17,3,1,6
category_2,837943,2021-11-06,8,5,44,310
category_2,1090258,2022-02-08,11,1,6,39
category_2,1101769,2022-02-09,5,2,6,40
category_1,1049776,2021-12-07,7,1,49,341
category_2,248272,2021-12-09,5,3,49,343
category_1,36898,2021-11-12,9,4,45,316
