,ItemCode,WoY,DailySales
0,3418,1,83
1,3418,2,85
2,3418,3,89
3,3418,4,67
4,3418,5,109
5,3418,6,72
6,3418,39,29
7,3418,40,42
8,3418,41,41
9,3418,42,41
10,3418,43,44
11,3418,44,46
12,3418,45,43
13,3418,46,49
14,3418,47,54
15,3418,48,69
16,3418,49,101
17,3418,50,73
18,3418,51,75
19,3418,52,56
20,3427,1,66
21,3427,2,32
22,3427,3,34
23,3427,4,29
24,3427,5,58
25,3427,6,35
26,3427,39,11
27,3427,40,40
28,3427,41,20
29,3427,42,48
30,3427,43,54
31,3427,44,28
32,3427,45,36
33,3427,46,52
34,3427,47,42
35,3427,48,57
36,3427,49,46
37,3427,50,45
38,3427,51,78
39,3427,52,39
40,7666,1,15
41,7666,2,26
42,7666,3,28
43,7666,4,38
44,7666,5,41
45,7666,6,39
46,7666,39,84
47,7666,40,119
48,7666,41,196
49,7666,42,185
50,7666,43,94
51,7666,44,15
52,7666,45,10
53,7666,46,30
54,7666,47,79
55,7666,48,82
56,7666,49,141
57,7666,50,219
58,7666,51,125
59,7666,52,107
60,9925,1,8
61,9925,2,9
62,9925,3,14
63,9925,4,10
64,9925,5,8
65,9925,6,21
66,9925,39,1
67,9925,40,9
68,9925,41,11
69,9925,42,13
70,9925,43,5
71,9925,44,11
72,9925,45,11
73,9925,46,13
74,9925,47,12
75,9925,48,10
76,9925,49,21
77,9925,50,15
78,9925,51,17
79,9925,52,19
80,16936,1,74
81,16936,2,66
82,16936,3,43
83,16936,4,66
84,16936,5,48
85,16936,6,71
86,16936,39,9
87,16936,40,25
88,16936,41,40
89,16936,42,31
90,16936,43,21
91,16936,44,43
92,16936,45,7
93,16936,46,34
94,16936,47,151
95,16936,48,32
96,16936,49,28
97,16936,50,25
98,16936,51,49
99,16936,52,40
100,17287,1,21
101,17287,2,17
102,17287,3,28
103,17287,4,82
104,17287,5,14
105,17287,6,23
106,17287,39,2
107,17287,40,16
108,17287,41,6
109,17287,42,10
110,17287,43,21
111,17287,44,21
112,17287,45,12
113,17287,46,20
114,17287,47,10
115,17287,48,24
116,17287,49,23
117,17287,50,6
118,17287,51,18
119,17287,52,21
120,17296,1,621
121,17296,2,503
122,17296,3,909
123,17296,4,301
124,17296,5,574
125,17296,6,331
126,17296,39,115
127,17296,40,274
128,17296,41,438
129,17296,42,276
130,17296,43,485
131,17296,44,578
132,17296,45,643
133,17296,46,540
134,17296,47,580
135,17296,48,435
136,17296,49,595
137,17296,50,569
138,17296,51,434
139,17296,52,481
140,20824,1,91
141,20824,2,126
142,20824,3,94
143,20824,4,122
144,20824,5,136
145,20824,6,136
146,20824,39,53
147,20824,40,144
148,20824,41,123
149,20824,42,112
150,20824,43,103
151,20824,44,163
152,20824,45,284
153,20824,46,140
154,20824,47,134
155,20824,48,115
156,20824,49,122
157,20824,50,103
158,20824,51,119
159,20824,52,116
160,23200,1,0
161,23200,2,0
162,23200,3,0
163,23200,4,0
164,23200,5,0
165,23200,6,22
166,23200,39,8
167,23200,40,7
168,23200,41,33
169,23200,42,7
170,23200,43,64
171,23200,44,80
172,23200,45,61
173,23200,46,30
174,23200,47,108
175,23200,48,163
176,23200,49,195
177,23200,50,149
178,23200,51,73
179,23200,52,95
180,23569,1,15
181,23569,2,20
182,23569,3,23
183,23569,4,24
184,23569,5,18
185,23569,6,16
186,23569,39,15
187,23569,40,13
188,23569,41,3
189,23569,42,11
190,23569,43,10
191,23569,44,30
192,23569,45,52
193,23569,46,35
194,23569,47,21
195,23569,48,29
196,23569,49,11
197,23569,50,21
198,23569,51,16
199,23569,52,16
200,24136,1,31
201,24136,2,27
202,24136,3,55
203,24136,4,33
204,24136,5,16
205,24136,6,26
206,24136,39,17
207,24136,40,25
208,24136,41,45
209,24136,42,130
210,24136,43,36
211,24136,44,33
212,24136,45,17
213,24136,46,7
214,24136,47,22
215,24136,48,25
216,24136,49,23
217,24136,50,16
218,24136,51,31
219,24136,52,25
220,30877,1,44
221,30877,2,64
222,30877,3,114
223,30877,4,107
224,30877,5,71
225,30877,6,92
226,30877,39,21
227,30877,40,70
228,30877,41,41
229,30877,42,51
230,30877,43,64
231,30877,44,72
232,30877,45,131
233,30877,46,50
234,30877,47,61
235,30877,48,98
236,30877,49,103
237,30877,50,44
238,30877,51,68
239,30877,52,50
240,32245,1,78
241,32245,2,30
242,32245,3,51
243,32245,4,51
244,32245,5,51
245,32245,6,51
246,32245,39,26
247,32245,40,41
248,32245,41,24
249,32245,42,45
250,32245,43,28
251,32245,44,27
252,32245,45,29
253,32245,46,40
254,32245,47,29
255,32245,48,46
256,32245,49,38
257,32245,50,18
258,32245,51,53
259,32245,52,29
260,35449,1,14
261,35449,2,15
262,35449,3,11
263,35449,4,16
264,35449,5,23
265,35449,6,29
266,35449,39,2
267,35449,40,1
268,35449,41,3
269,35449,42,6
270,35449,43,6
271,35449,44,5
272,35449,45,7
273,35449,46,5
274,35449,47,18
275,35449,48,11
276,35449,49,27
277,35449,50,17
278,35449,51,20
279,35449,52,1
280,35530,1,16
281,35530,2,17
282,35530,3,10
283,35530,4,16
284,35530,5,0
285,35530,6,22
286,35530,39,2
287,35530,40,21
288,35530,41,24
289,35530,42,7
290,35530,43,15
291,35530,44,3
292,35530,45,18
293,35530,46,3
294,35530,47,20
295,35530,48,6
296,35530,49,21
297,35530,50,7
298,35530,51,16
299,35530,52,8
300,35584,1,4
301,35584,2,22
302,35584,3,4
303,35584,4,5
304,35584,5,5
305,35584,6,10
306,35584,39,1
307,35584,40,6
308,35584,41,5
309,35584,42,4
310,35584,43,8
311,35584,44,2
312,35584,45,2
313,35584,46,5
314,35584,47,4
315,35584,48,7
316,35584,49,8
317,35584,50,12
318,35584,51,19
319,35584,52,4
320,36898,1,105
321,36898,2,90
322,36898,3,118
323,36898,4,53
324,36898,5,77
325,36898,6,70
326,36898,39,17
327,36898,40,55
328,36898,41,40
329,36898,42,90
330,36898,43,82
331,36898,44,74
332,36898,45,58
333,36898,46,70
334,36898,47,62
335,36898,48,85
336,36898,49,76
337,36898,50,60
338,36898,51,76
339,36898,52,75
340,37510,1,8
341,37510,2,7
342,37510,3,7
343,37510,4,6
344,37510,5,8
345,37510,6,11
346,37510,39,1
347,37510,40,12
348,37510,41,6
349,37510,42,6
350,37510,43,10
351,37510,44,11
352,37510,45,7
353,37510,46,3
354,37510,47,2
355,37510,48,4
356,37510,49,12
357,37510,50,7
358,37510,51,4
359,37510,52,4
360,37861,1,206
361,37861,2,144
362,37861,3,126
363,37861,4,165
364,37861,5,241
365,37861,6,239
366,37861,39,77
367,37861,40,168
368,37861,41,89
369,37861,42,78
370,37861,43,125
371,37861,44,143
372,37861,45,80
373,37861,46,83
374,37861,47,143
375,37861,48,131
376,37861,49,127
377,37861,50,91
378,37861,51,143
379,37861,52,110
380,38518,1,30
381,38518,2,17
382,38518,3,12
383,38518,4,18
384,38518,5,17
385,38518,6,35
386,38518,39,9
387,38518,40,25
388,38518,41,13
389,38518,42,19
390,38518,43,9
391,38518,44,6
392,38518,45,8
393,38518,46,12
394,38518,47,18
395,38518,48,14
396,38518,49,28
397,38518,50,16
398,38518,51,12
399,38518,52,18
400,39436,1,16
401,39436,2,14
402,39436,3,22
403,39436,4,21
404,39436,5,18
405,39436,6,23
406,39436,39,139
407,39436,40,161
408,39436,41,93
409,39436,42,26
410,39436,43,22
411,39436,44,15
412,39436,45,21
413,39436,46,10
414,39436,47,10
415,39436,48,11
416,39436,49,10
417,39436,50,22
418,39436,51,16
419,39436,52,15
420,40759,1,37
421,40759,2,59
422,40759,3,38
423,40759,4,58
424,40759,5,53
425,40759,6,26
426,40759,39,38
427,40759,40,59
428,40759,41,46
429,40759,42,43
430,40759,43,62
431,40759,44,62
432,40759,45,35
433,40759,46,34
434,40759,47,56
435,40759,48,63
436,40759,49,87
437,40759,50,122
438,40759,51,155
439,40759,52,69
440,41830,1,19
441,41830,2,14
442,41830,3,16
443,41830,4,15
444,41830,5,22
445,41830,6,9
446,41830,39,3
447,41830,40,17
448,41830,41,15
449,41830,42,12
450,41830,43,20
451,41830,44,8
452,41830,45,7
453,41830,46,24
454,41830,47,28
455,41830,48,14
456,41830,49,13
457,41830,50,20
458,41830,51,17
459,41830,52,25
460,42424,1,39
461,42424,2,61
462,42424,3,37
463,42424,4,41
464,42424,5,61
465,42424,6,59
466,42424,39,13
467,42424,40,24
468,42424,41,33
469,42424,42,12
470,42424,43,22
471,42424,44,23
472,42424,45,27
473,42424,46,23
474,42424,47,28
475,42424,48,33
476,42424,49,58
477,42424,50,41
478,42424,51,62
479,42424,52,27
480,42496,1,36
481,42496,2,35
482,42496,3,37
483,42496,4,39
484,42496,5,42
485,42496,6,30
486,42496,39,19
487,42496,40,11
488,42496,41,22
489,42496,42,22
490,42496,43,45
491,42496,44,22
492,42496,45,32
493,42496,46,24
494,42496,47,20
495,42496,48,38
496,42496,49,102
497,42496,50,29
498,42496,51,43
499,42496,52,47
500,43630,1,32
501,43630,2,22
502,43630,3,36
503,43630,4,52
504,43630,5,25
505,43630,6,49
506,43630,39,9
507,43630,40,31
508,43630,41,20
509,43630,42,21
510,43630,43,33
511,43630,44,24
512,43630,45,31
513,43630,46,25
514,43630,47,27
515,43630,48,29
516,43630,49,39
517,43630,50,22
518,43630,51,22
519,43630,52,21
520,43657,1,8
521,43657,2,9
522,43657,3,6
523,43657,4,11
524,43657,5,16
525,43657,6,23
526,43657,39,3
527,43657,40,12
528,43657,41,4
529,43657,42,3
530,43657,43,4
531,43657,44,14
532,43657,45,9
533,43657,46,8
534,43657,47,5
535,43657,48,9
536,43657,49,9
537,43657,50,7
538,43657,51,10
539,43657,52,13
540,43738,1,25
541,43738,2,30
542,43738,3,28
543,43738,4,17
544,43738,5,17
545,43738,6,31
546,43738,39,10
547,43738,40,11
548,43738,41,13
549,43738,42,8
550,43738,43,13
551,43738,44,5
552,43738,45,11
553,43738,46,12
554,43738,47,27
555,43738,48,17
556,43738,49,19
557,43738,50,18
558,43738,51,24
559,43738,52,12
560,48940,1,21
561,48940,2,25
562,48940,3,9
563,48940,4,28
564,48940,5,17
565,48940,6,16
566,48940,39,2
567,48940,40,10
568,48940,41,16
569,48940,42,8
570,48940,43,12
571,48940,44,12
572,48940,45,12
573,48940,46,18
574,48940,47,18
575,48940,48,11
576,48940,49,6
577,48940,50,12
578,48940,51,23
579,48940,52,18
580,50785,1,5
581,50785,2,19
582,50785,3,29
583,50785,4,33
584,50785,5,10
585,50785,6,65
586,50785,39,9
587,50785,40,18
588,50785,41,5
589,50785,42,10
590,50785,43,22
591,50785,44,28
592,50785,45,12
593,50785,46,21
594,50785,47,24
595,50785,48,10
596,50785,49,15
597,50785,50,7
598,50785,51,7
599,50785,52,6
600,57058,1,3
601,57058,2,7
602,57058,3,16
603,57058,4,12
604,57058,5,12
605,57058,6,5
606,57058,39,5
607,57058,40,11
608,57058,41,6
609,57058,42,4
610,57058,43,2
611,57058,44,5
612,57058,45,10
613,57058,46,4
614,57058,47,7
615,57058,48,3
616,57058,49,13
617,57058,50,4
618,57058,51,3
619,57058,52,13
620,59047,1,8
621,59047,2,37
622,59047,3,8
623,59047,4,16
624,59047,5,7
625,59047,6,4
626,59047,39,3
627,59047,40,5
628,59047,41,4
629,59047,42,1
630,59047,43,17
631,59047,44,15
632,59047,45,3
633,59047,46,9
634,59047,47,0
635,59047,48,8
636,59047,49,12
637,59047,50,11
638,59047,51,8
639,59047,52,2
640,59749,1,55
641,59749,2,47
642,59749,3,45
643,59749,4,44
644,59749,5,35
645,59749,6,32
646,59749,39,26
647,59749,40,44
648,59749,41,37
649,59749,42,38
650,59749,43,44
651,59749,44,28
652,59749,45,44
653,59749,46,28
654,59749,47,38
655,59749,48,61
656,59749,49,70
657,59749,50,82
658,59749,51,99
659,59749,52,83
660,64978,1,3
661,64978,2,4
662,64978,3,1
663,64978,4,3
664,64978,5,5
665,64978,6,5
666,64978,39,2
667,64978,40,8
668,64978,41,3
669,64978,42,2
670,64978,43,6
671,64978,44,4
672,64978,45,7
673,64978,46,3
674,64978,47,12
675,64978,48,9
676,64978,49,6
677,64978,50,3
678,64978,51,3
679,64978,52,2
680,65788,1,12
681,65788,2,8
682,65788,3,9
683,65788,4,17
684,65788,5,9
685,65788,6,9
686,65788,39,26
687,65788,40,46
688,65788,41,54
689,65788,42,52
690,65788,43,32
691,65788,44,4
692,65788,45,12
693,65788,46,8
694,65788,47,10
695,65788,48,15
696,65788,49,13
697,65788,50,11
698,65788,51,7
699,65788,52,14
700,75886,1,9
701,75886,2,9
702,75886,3,0
703,75886,4,6
704,75886,5,12
705,75886,6,14
706,75886,39,7
707,75886,40,12
708,75886,41,8
709,75886,42,10
710,75886,43,10
711,75886,44,3
712,75886,45,9
713,75886,46,3
714,75886,47,13
715,75886,48,15
716,75886,49,8
717,75886,50,17
718,75886,51,7
719,75886,52,13
720,76399,1,45
721,76399,2,39
722,76399,3,60
723,76399,4,55
724,76399,5,18
725,76399,39,21
726,76399,40,11
727,76399,41,12
728,76399,42,31
729,76399,43,23
730,76399,44,18
731,76399,45,35
732,76399,46,29
733,76399,47,19
734,76399,48,25
735,76399,49,16
736,76399,50,31
737,76399,51,39
738,76399,52,25
739,86974,1,36
740,86974,2,23
741,86974,3,25
742,86974,4,0
743,86974,5,23
744,86974,39,12
745,86974,40,20
746,86974,41,17
747,86974,42,2
748,86974,43,1
749,86974,44,35
750,86974,45,1
751,86974,46,14
752,86974,47,11
753,86974,48,8
754,86974,49,30
755,86974,50,20
756,86974,51,19
757,86974,52,43
758,86992,1,41
759,86992,2,52
760,86992,3,72
761,86992,4,79
762,86992,5,75
763,86992,6,104
764,86992,39,5
765,86992,40,43
766,86992,41,31
767,86992,42,37
768,86992,43,45
769,86992,44,41
770,86992,45,33
771,86992,46,61
772,86992,47,50
773,86992,48,43
774,86992,49,54
775,86992,50,65
776,86992,51,55
777,86992,52,71
778,87046,1,7
779,87046,2,13
780,87046,3,10
781,87046,39,6
782,87046,40,6
783,87046,41,6
784,87046,42,1
785,87046,43,0
786,87046,44,11
787,87046,45,15
788,87046,46,7
789,87046,47,5
790,87046,48,7
791,87046,49,17
792,87046,50,12
793,87046,51,17
794,87046,52,18
795,87559,1,28
796,87559,2,31
797,87559,3,18
798,87559,4,31
799,87559,5,29
800,87559,6,30
801,87559,39,8
802,87559,40,30
803,87559,41,11
804,87559,42,18
