,ItemCode,WoYY,DailySales
0,3418,2021-39,29
1,3418,2021-40,42
2,3418,2021-41,41
3,3418,2021-42,41
4,3418,2021-43,44
5,3418,2021-44,46
6,3418,2021-45,43
7,3418,2021-46,49
8,3418,2021-47,54
9,3418,2021-48,69
10,3418,2021-49,101
11,3418,2021-50,73
12,3418,2021-51,75
13,3418,2021-52,39
14,3418,2022-1,83
15,3418,2022-2,85
16,3418,2022-3,89
17,3418,2022-4,67
18,3418,2022-5,109
19,3418,2022-52,17
20,3418,2022-6,72
21,3427,2021-39,11
22,3427,2021-40,40
23,3427,2021-41,20
24,3427,2021-42,48
25,3427,2021-43,54
26,3427,2021-44,28
27,3427,2021-45,36
28,3427,2021-46,52
29,3427,2021-47,42
30,3427,2021-48,57
31,3427,2021-49,46
32,3427,2021-50,45
33,3427,2021-51,78
34,3427,2021-52,32
35,3427,2022-1,66
36,3427,2022-2,32
37,3427,2022-3,34
38,3427,2022-4,29
39,3427,2022-5,58
40,3427,2022-52,7
41,3427,2022-6,35
42,7666,2021-39,84
43,7666,2021-40,119
44,7666,2021-41,196
45,7666,2021-42,185
46,7666,2021-43,94
47,7666,2021-44,15
48,7666,2021-45,10
49,7666,2021-46,30
50,7666,2021-47,79
51,7666,2021-48,82
52,7666,2021-49,141
53,7666,2021-50,219
54,7666,2021-51,125
55,7666,2021-52,82
56,7666,2022-1,15
57,7666,2022-2,26
58,7666,2022-3,28
59,7666,2022-4,38
60,7666,2022-5,41
61,7666,2022-52,25
62,7666,2022-6,39
63,9925,2021-39,1
64,9925,2021-40,9
65,9925,2021-41,11
66,9925,2021-42,13
67,9925,2021-43,5
68,9925,2021-44,11
69,9925,2021-45,11
70,9925,2021-46,13
71,9925,2021-47,12
72,9925,2021-48,10
73,9925,2021-49,21
74,9925,2021-50,15
75,9925,2021-51,17
76,9925,2021-52,16
77,9925,2022-1,8
78,9925,2022-2,9
79,9925,2022-3,14
80,9925,2022-4,10
81,9925,2022-5,8
82,9925,2022-52,3
83,9925,2022-6,21
84,16936,2021-39,9
85,16936,2021-40,25
86,16936,2021-41,40
87,16936,2021-42,31
88,16936,2021-43,21
89,16936,2021-44,43
90,16936,2021-45,7
91,16936,2021-46,34
92,16936,2021-47,151
93,16936,2021-48,32
94,16936,2021-49,28
95,16936,2021-50,25
96,16936,2021-51,49
97,16936,2021-52,27
98,16936,2022-1,74
99,16936,2022-2,66
100,16936,2022-3,43
101,16936,2022-4,66
102,16936,2022-5,48
103,16936,2022-52,13
104,16936,2022-6,71
105,17287,2021-39,2
106,17287,2021-40,16
107,17287,2021-41,6
108,17287,2021-42,10
109,17287,2021-43,21
110,17287,2021-44,21
111,17287,2021-45,12
112,17287,2021-46,20
113,17287,2021-47,10
114,17287,2021-48,24
115,17287,2021-49,23
116,17287,2021-50,6
117,17287,2021-51,18
118,17287,2021-52,15
119,17287,2022-1,21
120,17287,2022-2,17
121,17287,2022-3,28
122,17287,2022-4,82
123,17287,2022-5,14
124,17287,2022-52,6
125,17287,2022-6,23
126,17296,2021-39,115
127,17296,2021-40,274
128,17296,2021-41,438
129,17296,2021-42,276
130,17296,2021-43,485
131,17296,2021-44,578
132,17296,2021-45,643
133,17296,2021-46,540
134,17296,2021-47,580
135,17296,2021-48,435
136,17296,2021-49,595
137,17296,2021-50,569
138,17296,2021-51,434
139,17296,2021-52,305
140,17296,2022-1,621
141,17296,2022-2,503
142,17296,2022-3,909
143,17296,2022-4,301
144,17296,2022-5,574
145,17296,2022-52,176
146,17296,2022-6,331
147,20824,2021-39,53
148,20824,2021-40,144
149,20824,2021-41,123
150,20824,2021-42,112
151,20824,2021-43,103
152,20824,2021-44,163
153,20824,2021-45,284
154,20824,2021-46,140
155,20824,2021-47,134
156,20824,2021-48,115
157,20824,2021-49,122
158,20824,2021-50,103
159,20824,2021-51,119
160,20824,2021-52,84
161,20824,2022-1,91
162,20824,2022-2,126
163,20824,2022-3,94
164,20824,2022-4,122
165,20824,2022-5,136
166,20824,2022-52,32
167,20824,2022-6,136
168,23200,2021-39,8
169,23200,2021-40,7
170,23200,2021-41,33
171,23200,2021-42,7
172,23200,2021-43,64
173,23200,2021-44,80
174,23200,2021-45,61
175,23200,2021-46,30
176,23200,2021-47,108
177,23200,2021-48,163
178,23200,2021-49,195
179,23200,2021-50,149
180,23200,2021-51,73
181,23200,2021-52,89
182,23200,2022-1,0
183,23200,2022-2,0
184,23200,2022-3,0
185,23200,2022-4,0
186,23200,2022-5,0
187,23200,2022-52,6
188,23200,2022-6,22
189,23569,2021-39,15
190,23569,2021-40,13
191,23569,2021-41,3
192,23569,2021-42,11
193,23569,2021-43,10
194,23569,2021-44,30
195,23569,2021-45,52
196,23569,2021-46,35
197,23569,2021-47,21
198,23569,2021-48,29
199,23569,2021-49,11
200,23569,2021-50,21
201,23569,2021-51,16
202,23569,2021-52,16
203,23569,2022-1,15
204,23569,2022-2,20
205,23569,2022-3,23
206,23569,2022-4,24
207,23569,2022-5,18
208,23569,2022-52,0
209,23569,2022-6,16
210,24136,2021-39,17
211,24136,2021-40,25
212,24136,2021-41,45
213,24136,2021-42,130
214,24136,2021-43,36
215,24136,2021-44,33
216,24136,2021-45,17
217,24136,2021-46,7
218,24136,2021-47,22
219,24136,2021-48,25
220,24136,2021-49,23
221,24136,2021-50,16
222,24136,2021-51,31
223,24136,2021-52,22
224,24136,2022-1,31
225,24136,2022-2,27
226,24136,2022-3,55
227,24136,2022-4,33
228,24136,2022-5,16
229,24136,2022-52,3
230,24136,2022-6,26
231,30877,2021-39,21
232,30877,2021-40,70
233,30877,2021-41,41
234,30877,2021-42,51
235,30877,2021-43,64
236,30877,2021-44,72
237,30877,2021-45,131
238,30877,2021-46,50
239,30877,2021-47,61
240,30877,2021-48,98
241,30877,2021-49,103
242,30877,2021-50,44
243,30877,2021-51,68
244,30877,2021-52,43
245,30877,2022-1,44
246,30877,2022-2,64
247,30877,2022-3,114
248,30877,2022-4,107
249,30877,2022-5,71
250,30877,2022-52,7
251,30877,2022-6,92
252,32245,2021-39,26
253,32245,2021-40,41
254,32245,2021-41,24
255,32245,2021-42,45
256,32245,2021-43,28
257,32245,2021-44,27
258,32245,2021-45,29
259,32245,2021-46,40
260,32245,2021-47,29
261,32245,2021-48,46
262,32245,2021-49,38
263,32245,2021-50,18
264,32245,2021-51,53
265,32245,2021-52,24
266,32245,2022-1,78
267,32245,2022-2,30
268,32245,2022-3,51
269,32245,2022-4,51
270,32245,2022-5,51
271,32245,2022-52,5
272,32245,2022-6,51
273,35449,2021-39,2
274,35449,2021-40,1
275,35449,2021-41,3
276,35449,2021-42,6
277,35449,2021-43,6
278,35449,2021-44,5
279,35449,2021-45,7
280,35449,2021-46,5
281,35449,2021-47,18
282,35449,2021-48,11
283,35449,2021-49,27
284,35449,2021-50,17
285,35449,2021-51,20
286,35449,2021-52,1
287,35449,2022-1,14
288,35449,2022-2,15
289,35449,2022-3,11
290,35449,2022-4,16
291,35449,2022-5,23
292,35449,2022-52,0
293,35449,2022-6,29
294,35530,2021-39,2
295,35530,2021-40,21
296,35530,2021-41,24
297,35530,2021-42,7
298,35530,2021-43,15
299,35530,2021-44,3
300,35530,2021-45,18
301,35530,2021-46,3
302,35530,2021-47,20
303,35530,2021-48,6
304,35530,2021-49,21
305,35530,2021-50,7
306,35530,2021-51,16
307,35530,2021-52,4
308,35530,2022-1,16
309,35530,2022-2,17
310,35530,2022-3,10
311,35530,2022-4,16
312,35530,2022-5,0
313,35530,2022-52,4
314,35530,2022-6,22
315,35584,2021-39,1
316,35584,2021-40,6
317,35584,2021-41,5
318,35584,2021-42,4
319,35584,2021-43,8
320,35584,2021-44,2
321,35584,2021-45,2
322,35584,2021-46,5
323,35584,2021-47,4
324,35584,2021-48,7
325,35584,2021-49,8
326,35584,2021-50,12
327,35584,2021-51,19
328,35584,2021-52,4
329,35584,2022-1,4
330,35584,2022-2,22
331,35584,2022-3,4
332,35584,2022-4,5
333,35584,2022-5,5
334,35584,2022-52,0
335,35584,2022-6,10
