ItemCode,Week,WeeklySales
3418,w1,30
3427,w1,32
7666,w1,39
9925,w1,9
16936,w1,46
17287,w1,34
17296,w1,136
20824,w1,111
23200,w1,20
23569,w1,13
24136,w1,21
30877,w1,92
32245,w1,28
35449,w1,5
35530,w1,7
35584,w1,5
36898,w1,32
37510,w1,6
37861,w1,153
38518,w1,17
39436,w1,35
40759,w1,36
41830,w1,16
42424,w1,32
42496,w1,25
43630,w1,44
43657,w1,6
43738,w1,15
48940,w1,10
50785,w1,49
57058,w1,6
59047,w1,3
59749,w1,27
64978,w1,3
65788,w1,11
75886,w1,8
76399,w1,10
86974,w1,12
86992,w1,62
87046,w1,4
87559,w1,17
88450,w1,50
99079,w1,15
110320,w1,37
111382,w1,8
111436,w1,6
117610,w1,6
118033,w1,13
119554,w1,48
123307,w1,256
124774,w1,4
124954,w1,25
130993,w1,29
131983,w1,32
132028,w1,162
132334,w1,11
138742,w1,17
142756,w1,58
145330,w1,5
145978,w1,26
169504,w1,213
172033,w1,6
172582,w1,15
173617,w1,10
174436,w1,41
210868,w1,8
211309,w1,10
213802,w1,10
216151,w1,15
225259,w1,15
245581,w1,94
248272,w1,14
262384,w1,13
267478,w1,14
267496,w1,5
370195,w1,22
371104,w1,6
371239,w1,28
379249,w1,58
397213,w1,18
399220,w1,34
416212,w1,11
687616,w1,8
731104,w1,14
745945,w1,16
753613,w1,144
755584,w1,31
815101,w1,23
836125,w1,87
836152,w1,16
836584,w1,45
837943,w1,71
838456,w1,12
839356,w1,71
839374,w1,36
858886,w1,2
865933,w1,15
872260,w1,9
877624,w1,29
893824,w1,25
903976,w1,9
906586,w1,6
906595,w1,12
913561,w1,7
999403,w1,10
1003147,w1,157
1003156,w1,60
1003183,w1,31
1003192,w1,47
1006009,w1,2
1006090,w1,20
1006099,w1,3
1006108,w1,12
1010068,w1,14
1013335,w1,10
1015621,w1,4
1021264,w1,15
1024810,w1,45
1026871,w1,11
1030948,w1,5
1032532,w1,73
1032541,w1,84
1032550,w1,9
1032559,w1,14
1032568,w1,3
1032586,w1,14
1044502,w1,13
1044610,w1,2
1044619,w1,32
1044682,w1,28
1044691,w1,12
1047130,w1,70
1047967,w1,79
1048975,w1,41
1049776,w1,31
1050046,w1,13
1054978,w1,42
1056463,w1,48
1058713,w1,22
1060630,w1,24
1060909,w1,53
1061341,w1,10
1061638,w1,21
1063600,w1,6
1064473,w1,33
1064572,w1,8
1066570,w1,20
1067074,w1,29
1067092,w1,102
1067119,w1,14
1067128,w1,10
1068883,w1,10
1070818,w1,5
1070836,w1,22
1071106,w1,14
1071115,w1,8
1071124,w1,3
1074823,w1,-6
1075651,w1,8
1076920,w1,5
1076929,w1,6
1076938,w1,18
1077118,w1,7
1081060,w1,17
1081069,w1,17
1081078,w1,4
1081087,w1,16
1081321,w1,4
1081339,w1,2
1082743,w1,54
1084498,w1,18
1085749,w1,12
1090024,w1,18
1090105,w1,4
1090114,w1,7
1090240,w1,7
1090249,w1,22
1090258,w1,18
1090276,w1,5
1090294,w1,5
1090303,w1,10
1092184,w1,23
1097143,w1,56
1098493,w1,3
1098502,w1,5
1101553,w1,2
1101562,w1,4
1101571,w1,11
1101661,w1,26
1101769,w1,33
1103056,w1,11
1105009,w1,6
1105018,w1,9
1105027,w1,9
3418,w2,76
3427,w2,28
7666,w2,37
9925,w2,9
16936,w2,31
17287,w2,16
17296,w2,332
20824,w2,97
23200,w2,17
23569,w2,11
24136,w2,16
30877,w2,69
32245,w2,36
35449,w2,19
35530,w2,12
35584,w2,2
36898,w2,78
37510,w2,9
37861,w2,148
38518,w2,19
39436,w2,53
40759,w2,24
41830,w2,15
42424,w2,29
42496,w2,24
43630,w2,16
43657,w2,14
43738,w2,23
48940,w2,4
50785,w2,6
57058,w2,5
59047,w2,2
59749,w2,26
64978,w2,3
65788,w2,9
75886,w2,8
76399,w2,7
86974,w2,13
86992,w2,62
87046,w2,7
87559,w2,22
88450,w2,61
99079,w2,15
110320,w2,26
111382,w2,9
111436,w2,7
117610,w2,5
118033,w2,13
119554,w2,131
123307,w2,500
124774,w2,1
124954,w2,10
130993,w2,24
131983,w2,28
132028,w2,87
132334,w2,11
138742,w2,18
142756,w2,32
145330,w2,7
145978,w2,18
169504,w2,113
172033,w2,5
172582,w2,13
173617,w2,9
174436,w2,34
210868,w2,2
211309,w2,22
213802,w2,4
216151,w2,12
225259,w2,3
245581,w2,88
248272,w2,13
262384,w2,12
267478,w2,11
267496,w2,10
370195,w2,40
371104,w2,10
371239,w2,23
379249,w2,85
397213,w2,13
399220,w2,26
416212,w2,11
687616,w2,7
731104,w2,9
745945,w2,14
753613,w2,54
755584,w2,28
815101,w2,21
836125,w2,42
836152,w2,12
836584,w2,158
837943,w2,102
838456,w2,11
839356,w2,83
839374,w2,37
858886,w2,6
865933,w2,16
872260,w2,6
877624,w2,18
893824,w2,21
903976,w2,24
906586,w2,5
906595,w2,9
913561,w2,8
999403,w2,4
1003147,w2,33
1003156,w2,45
1003183,w2,14
1003192,w2,27
1006009,w2,2
1006090,w2,16
1006099,w2,8
1006108,w2,3
1010068,w2,4
1013335,w2,10
1015621,w2,6
1021264,w2,10
1024810,w2,54
1026871,w2,16
1030948,w2,4
1032532,w2,155
1032541,w2,185
1032550,w2,15
1032559,w2,11
1032568,w2,2
1032586,w2,21
1044502,w2,10
1044610,w2,0
1044619,w2,24
1044682,w2,17
1044691,w2,20
1047130,w2,52
1047967,w2,46
1048975,w2,21
1049776,w2,27
1050046,w2,12
1054978,w2,19
1056463,w2,66
1058713,w2,52
1060630,w2,15
1060909,w2,43
1061341,w2,12
1061638,w2,3
1063600,w2,6
1064473,w2,34
1064572,w2,9
1066570,w2,10
1067074,w2,32
1067092,w2,83
1067119,w2,27
1067128,w2,12
1068883,w2,4
1070818,w2,6
1070836,w2,12
1071106,w2,11
1071115,w2,6
1071124,w2,1
1074823,w2,-26
1075651,w2,9
1076920,w2,4
1076929,w2,2
1076938,w2,14
1077118,w2,21
1081060,w2,14
1081069,w2,15
1081078,w2,6
1081087,w2,20
1081321,w2,3
1081339,w2,2
1082743,w2,0
1084498,w2,3
1085749,w2,11
1090024,w2,28
1090105,w2,5
1090114,w2,7
1090240,w2,5
1090249,w2,2
1090258,w2,11
1090276,w2,4
1090294,w2,7
1090303,w2,6
1092184,w2,15
1097143,w2,46
1098493,w2,3
1098502,w2,6
1101553,w2,2
1101562,w2,4
1101571,w2,2
1101661,w2,27
1101769,w2,8
1103056,w2,13
1105009,w2,7
1105018,w2,4
1105027,w2,6
3418,w3,32
3427,w3,25
7666,w3,28
9925,w3,10
16936,w3,39
17287,w3,12
17296,w3,167
20824,w3,93
23200,w3,12
23569,w3,9
24136,w3,11
30877,w3,42
32245,w3,27
35449,w3,9
35530,w3,8
35584,w3,6
36898,w3,32
37510,w3,2
37861,w3,102
38518,w3,19
39436,w3,59
40759,w3,20
41830,w3,10
42424,w3,45
42496,w3,19
43630,w3,23
43657,w3,9
43738,w3,8
48940,w3,12
50785,w3,19
57058,w3,5
59047,w3,1
59749,w3,25
64978,w3,2
65788,w3,8
75886,w3,10
76399,w3,4
86974,w3,13
86992,w3,46
87046,w3,5
87559,w3,17
88450,w3,55
99079,w3,13
110320,w3,23
111382,w3,7
111436,w3,5
117610,w3,4
118033,w3,9
119554,w3,55
123307,w3,292
124774,w3,3
124954,w3,23
130993,w3,10
131983,w3,20
132028,w3,84
132334,w3,10
138742,w3,9
142756,w3,19
145330,w3,6
145978,w3,26
169504,w3,296
172033,w3,4
172582,w3,9
173617,w3,10
174436,w3,36
210868,w3,3
211309,w3,10
213802,w3,6
216151,w3,9
225259,w3,14
245581,w3,108
248272,w3,11
262384,w3,12
267478,w3,9
267496,w3,4
370195,w3,25
371104,w3,7
371239,w3,22
379249,w3,72
397213,w3,16
399220,w3,22
416212,w3,9
687616,w3,8
731104,w3,15
745945,w3,7
753613,w3,16
755584,w3,31
815101,w3,15
836125,w3,22
836152,w3,8
836584,w3,129
837943,w3,47
838456,w3,12
839356,w3,33
839374,w3,32
858886,w3,3
865933,w3,12
872260,w3,5
877624,w3,14
893824,w3,19
