CategoryCode,ItemCode,DateID,DailySales,PromoStarted,PromoEnded,DiscountValue,DiscountType,SellingPrice
category_1,379249,2021-12-04,9,2021-12-03,2021-12-09,10,Percentage,70
category_1,379249,2021-12-07,11,2021-12-03,2021-12-09,10,Percentage,70
category_1,379249,2021-12-05,9,2021-12-03,2021-12-09,10,Percentage,70
category_1,379249,2021-12-08,9,2021-12-03,2021-12-09,10,Percentage,70
category_1,379249,2021-12-06,6,2021-12-03,2021-12-09,10,Percentage,70
category_1,379249,2022-01-06,1,2022-01-04,2022-01-13,10,Percentage,70
category_1,379249,2022-01-05,3,2022-01-04,2022-01-13,10,Percentage,70
category_1,379249,2022-01-08,1,2022-01-04,2022-01-13,10,Percentage,70
category_1,379249,2022-01-12,8,2022-01-04,2022-01-13,10,Percentage,70
category_1,379249,2022-01-10,1,2022-01-04,2022-01-13,10,Percentage,70
category_1,379249,2022-01-11,11,2022-01-04,2022-01-13,10,Percentage,70
category_1,379249,2021-12-19,3,2021-12-17,2021-12-23,10,Percentage,70
category_1,379249,2021-12-22,60,2021-12-17,2021-12-23,10,Percentage,70
category_1,379249,2021-12-18,8,2021-12-17,2021-12-23,10,Percentage,70
category_1,379249,2021-12-21,10,2021-12-17,2021-12-23,10,Percentage,70
category_1,379249,2021-12-20,6,2021-12-17,2021-12-23,10,Percentage,70
category_1,379249,2021-11-01,3,2021-10-29,2021-11-04,10,Percentage,70
category_1,379249,2021-11-02,7,2021-10-29,2021-11-04,10,Percentage,70
category_1,379249,2021-10-31,11,2021-10-29,2021-11-04,10,Percentage,70
category_1,379249,2021-10-30,3,2021-10-29,2021-11-04,10,Percentage,70
category_1,379249,2021-11-03,4,2021-10-29,2021-11-04,10,Percentage,70
category_1,379249,2021-11-13,3,2021-11-12,2021-11-18,10,Percentage,70
category_1,379249,2021-11-15,3,2021-11-12,2021-11-18,10,Percentage,70
category_1,379249,2021-11-14,3,2021-11-12,2021-11-18,10,Percentage,70
category_1,379249,2021-11-16,21,2021-11-12,2021-11-18,10,Percentage,70
category_1,379249,2021-11-17,5,2021-11-12,2021-11-18,10,Percentage,70
category_1,379249,2021-12-12,2,2021-12-10,2021-12-16,10,Percentage,70
category_1,379249,2021-12-11,6,2021-12-10,2021-12-16,10,Percentage,70
category_1,379249,2021-12-13,3,2021-12-10,2021-12-16,10,Percentage,70
category_1,379249,2021-12-14,5,2021-12-10,2021-12-16,10,Percentage,70
category_1,379249,2021-12-15,8,2021-12-10,2021-12-16,10,Percentage,70
category_1,379249,2022-01-23,2,2022-01-21,2022-01-27,10,Percentage,70
category_1,379249,2022-01-22,1,2022-01-21,2022-01-27,10,Percentage,70
category_1,379249,2022-01-26,15,2022-01-21,2022-01-27,10,Percentage,70
category_1,379249,2022-01-24,13,2022-01-21,2022-01-27,10,Percentage,70
category_1,379249,2022-01-25,20,2022-01-21,2022-01-27,10,Percentage,70
