,CategoryCode,ItemCode,WoY,WeeklySales
0,category_1,3418,1,83
1,category_1,3418,2,85
2,category_1,3418,3,89
3,category_1,3418,4,67
4,category_1,3418,5,109
5,category_1,3418,6,72
6,category_1,3418,7,21
7,category_1,3418,39,29
8,category_1,3418,40,42
9,category_1,3418,41,41
10,category_1,3418,42,41
11,category_1,3418,43,44
12,category_1,3418,44,46
13,category_1,3418,45,43
14,category_1,3418,46,49
15,category_1,3418,47,54
16,category_1,3418,48,69
17,category_1,3418,49,101
18,category_1,3418,50,73
19,category_1,3418,51,75
20,category_1,3418,52,56
21,category_1,3427,1,66
22,category_1,3427,2,32
23,category_1,3427,3,34
24,category_1,3427,4,29
25,category_1,3427,5,58
26,category_1,3427,6,35
27,category_1,3427,7,3
28,category_1,3427,39,11
29,category_1,3427,40,40
30,category_1,3427,41,20
31,category_1,3427,42,48
32,category_1,3427,43,54
33,category_1,3427,44,28
34,category_1,3427,45,36
35,category_1,3427,46,52
36,category_1,3427,47,42
37,category_1,3427,48,57
38,category_1,3427,49,46
39,category_1,3427,50,45
40,category_1,3427,51,78
41,category_1,3427,52,39
42,category_3,7666,1,15
43,category_3,7666,2,26
44,category_3,7666,3,28
45,category_3,7666,4,38
46,category_3,7666,5,41
47,category_3,7666,6,39
48,category_3,7666,7,35
49,category_3,7666,39,84
50,category_3,7666,40,119
51,category_3,7666,41,196
52,category_3,7666,42,185
53,category_3,7666,43,94
54,category_3,7666,44,15
55,category_3,7666,45,10
56,category_3,7666,46,30
57,category_3,7666,47,79
58,category_3,7666,48,82
59,category_3,7666,49,141
60,category_3,7666,50,219
61,category_3,7666,51,125
62,category_3,7666,52,107
63,category_2,9925,1,8
64,category_2,9925,2,9
65,category_2,9925,3,14
66,category_2,9925,4,10
67,category_2,9925,5,8
68,category_2,9925,6,21
69,category_2,9925,7,8
70,category_2,9925,39,1
71,category_2,9925,40,9
72,category_2,9925,41,11
73,category_2,9925,42,13
74,category_2,9925,43,5
75,category_2,9925,44,11
76,category_2,9925,45,11
77,category_2,9925,46,13
78,category_2,9925,47,12
79,category_2,9925,48,10
80,category_2,9925,49,21
81,category_2,9925,50,15
82,category_2,9925,51,17
83,category_2,9925,52,19
84,category_3,16936,1,74
85,category_3,16936,2,66
86,category_3,16936,3,43
87,category_3,16936,4,66
88,category_3,16936,5,48
89,category_3,16936,6,71
90,category_3,16936,7,23
91,category_3,16936,39,9
92,category_3,16936,40,25
93,category_3,16936,41,40
94,category_3,16936,42,31
95,category_3,16936,43,21
96,category_3,16936,44,43
97,category_3,16936,45,7
98,category_3,16936,46,34
99,category_3,16936,47,151
100,category_3,16936,48,32
101,category_3,16936,49,28
102,category_3,16936,50,25
103,category_3,16936,51,49
104,category_3,16936,52,40
105,category_1,17287,1,21
106,category_1,17287,2,17
107,category_1,17287,3,28
108,category_1,17287,4,82
109,category_1,17287,5,14
110,category_1,17287,6,23
111,category_1,17287,7,38
112,category_1,17287,39,2
113,category_1,17287,40,16
114,category_1,17287,41,6
115,category_1,17287,42,10
116,category_1,17287,43,21
117,category_1,17287,44,21
118,category_1,17287,45,12
119,category_1,17287,46,20
120,category_1,17287,47,10
121,category_1,17287,48,24
122,category_1,17287,49,23
123,category_1,17287,50,6
124,category_1,17287,51,18
125,category_1,17287,52,21
126,category_1,17296,1,621
127,category_1,17296,2,503
128,category_1,17296,3,909
129,category_1,17296,4,301
130,category_1,17296,5,574
131,category_1,17296,6,331
132,category_1,17296,7,201
133,category_1,17296,39,115
134,category_1,17296,40,274
135,category_1,17296,41,438
136,category_1,17296,42,276
137,category_1,17296,43,485
138,category_1,17296,44,578
139,category_1,17296,45,643
140,category_1,17296,46,540
141,category_1,17296,47,580
142,category_1,17296,48,435
143,category_1,17296,49,595
144,category_1,17296,50,569
145,category_1,17296,51,434
146,category_1,17296,52,481
147,category_2,20824,1,91
148,category_2,20824,2,126
149,category_2,20824,3,94
150,category_2,20824,4,122
151,category_2,20824,5,136
152,category_2,20824,6,136
153,category_2,20824,7,72
154,category_2,20824,39,53
155,category_2,20824,40,144
156,category_2,20824,41,123
157,category_2,20824,42,112
158,category_2,20824,43,103
159,category_2,20824,44,163
160,category_2,20824,45,284
161,category_2,20824,46,140
162,category_2,20824,47,134
163,category_2,20824,48,115
164,category_2,20824,49,122
165,category_2,20824,50,103
166,category_2,20824,51,119
167,category_2,20824,52,116
168,category_4,23200,1,0
169,category_4,23200,2,0
170,category_4,23200,3,0
171,category_4,23200,4,0
172,category_4,23200,5,0
173,category_4,23200,6,22
174,category_4,23200,7,14
175,category_4,23200,39,8
176,category_4,23200,40,7
177,category_4,23200,41,33
178,category_4,23200,42,7
179,category_4,23200,43,64
180,category_4,23200,44,80
181,category_4,23200,45,61
