,ItemCode,Date,DailySales,CategoryCode
0,3418,2021-10-01,18,category_1
1,3418,2021-10-02,3,category_1
2,3418,2021-10-03,8,category_1
3,3418,2021-10-04,2,category_1
4,3418,2021-10-05,4,category_1
5,3418,2021-10-06,2,category_1
6,3418,2021-10-07,8,category_1
7,3418,2021-10-08,12,category_1
8,3418,2021-10-09,0,category_1
9,3418,2021-10-10,14,category_1
10,3418,2021-10-11,2,category_1
11,3418,2021-10-12,9,category_1
12,3418,2021-10-13,8,category_1
13,3418,2021-10-14,5,category_1
14,3418,2021-10-15,15,category_1
15,3418,2021-10-16,2,category_1
16,3418,2021-10-17,0,category_1
17,3418,2021-10-18,14,category_1
18,3418,2021-10-19,4,category_1
19,3418,2021-10-20,12,category_1
20,3418,2021-10-21,2,category_1
21,3418,2021-10-22,1,category_1
22,3418,2021-10-23,6,category_1
23,3418,2021-10-24,2,category_1
24,3418,2021-10-25,13,category_1
25,3418,2021-10-26,5,category_1
26,3418,2021-10-27,5,category_1
27,3418,2021-10-28,6,category_1
28,3418,2021-10-29,10,category_1
29,3418,2021-10-30,2,category_1
30,3418,2021-10-31,3,category_1
31,3418,2021-11-01,8,category_1
32,3418,2021-11-02,12,category_1
33,3418,2021-11-03,8,category_1
34,3418,2021-11-04,10,category_1
35,3418,2021-11-05,7,category_1
36,3418,2021-11-06,1,category_1
37,3418,2021-11-07,0,category_1
38,3418,2021-11-08,14,category_1
39,3418,2021-11-09,3,category_1
40,3418,2021-11-10,6,category_1
41,3418,2021-11-11,7,category_1
42,3418,2021-11-12,3,category_1
43,3418,2021-11-13,5,category_1
44,3418,2021-11-14,5,category_1
45,3418,2021-11-15,7,category_1
46,3418,2021-11-16,20,category_1
47,3418,2021-11-17,10,category_1
48,3418,2021-11-18,0,category_1
49,3418,2021-11-19,12,category_1
50,3418,2021-11-20,0,category_1
51,3418,2021-11-21,0,category_1
52,3418,2021-11-22,2,category_1
53,3418,2021-11-23,10,category_1
54,3418,2021-11-24,6,category_1
55,3418,2021-11-25,17,category_1
56,3418,2021-11-26,7,category_1
57,3418,2021-11-27,5,category_1
58,3418,2021-11-28,7,category_1
59,3418,2021-11-29,6,category_1
60,3418,2021-11-30,6,category_1
61,3418,2021-12-01,13,category_1
62,3418,2021-12-02,14,category_1
63,3418,2021-12-03,9,category_1
64,3418,2021-12-04,12,category_1
65,3418,2021-12-05,9,category_1
66,3418,2021-12-06,25,category_1
67,3418,2021-12-07,11,category_1
68,3418,2021-12-08,6,category_1
69,3418,2021-12-09,16,category_1
70,3418,2021-12-10,12,category_1
71,3418,2021-12-11,20,category_1
72,3418,2021-12-12,11,category_1
73,3418,2021-12-13,12,category_1
74,3418,2021-12-14,15,category_1
75,3418,2021-12-15,4,category_1
76,3418,2021-12-16,24,category_1
77,3418,2021-12-17,3,category_1
78,3418,2021-12-18,13,category_1
79,3418,2021-12-19,2,category_1
80,3418,2021-12-20,7,category_1
81,3418,2021-12-21,19,category_1
82,3418,2021-12-22,1,category_1
83,3418,2021-12-23,16,category_1
84,3418,2021-12-24,19,category_1
85,3418,2021-12-25,9,category_1
86,3418,2021-12-26,4,category_1
87,3418,2021-12-27,6,category_1
88,3418,2021-12-28,6,category_1
89,3418,2021-12-29,10,category_1
90,3418,2021-12-30,11,category_1
91,3418,2021-12-31,6,category_1
92,3418,2022-01-01,4,category_1
93,3418,2022-01-02,13,category_1
94,3418,2022-01-03,9,category_1
95,3418,2022-01-04,26,category_1
96,3418,2022-01-05,2,category_1
97,3418,2022-01-06,20,category_1
98,3418,2022-01-07,20,category_1
99,3418,2022-01-08,3,category_1
100,3418,2022-01-09,3,category_1
101,3418,2022-01-10,7,category_1
102,3418,2022-01-11,7,category_1
103,3418,2022-01-12,14,category_1
104,3418,2022-01-13,28,category_1
105,3418,2022-01-14,8,category_1
106,3418,2022-01-15,9,category_1
107,3418,2022-01-16,12,category_1
108,3418,2022-01-17,18,category_1
109,3418,2022-01-18,0,category_1
110,3418,2022-01-19,16,category_1
111,3418,2022-01-20,12,category_1
112,3418,2022-01-21,18,category_1
113,3418,2022-01-22,8,category_1
114,3418,2022-01-23,17,category_1
115,3418,2022-01-24,15,category_1
116,3418,2022-01-25,2,category_1
117,3418,2022-01-26,3,category_1
118,3418,2022-01-27,19,category_1
119,3418,2022-01-28,7,category_1
120,3418,2022-01-29,9,category_1
121,3418,2022-01-30,12,category_1
122,3418,2022-01-31,22,category_1
123,3418,2022-02-01,7,category_1
124,3418,2022-02-02,17,category_1
125,3418,2022-02-03,29,category_1
126,3418,2022-02-04,10,category_1
127,3418,2022-02-05,11,category_1
128,3418,2022-02-06,13,category_1
129,3418,2022-02-07,6,category_1
130,3418,2022-02-08,7,category_1
131,3418,2022-02-09,26,category_1
132,3418,2022-02-10,9,category_1
133,3418,2022-02-11,2,category_1
134,3418,2022-02-12,19,category_1
135,3418,2022-02-13,3,category_1
136,3418,2022-02-14,8,category_1
137,3418,2022-02-15,7,category_1
138,3418,2022-02-16,4,category_1
139,3418,2022-02-17,2,category_1
140,3427,2021-10-01,2,category_1
141,3427,2021-10-02,7,category_1
142,3427,2021-10-03,2,category_1
143,3427,2021-10-04,3,category_1
144,3427,2021-10-05,9,category_1
145,3427,2021-10-06,0,category_1
146,3427,2021-10-07,5,category_1
147,3427,2021-10-08,8,category_1
148,3427,2021-10-09,10,category_1
149,3427,2021-10-10,5,category_1
150,3427,2021-10-11,5,category_1
151,3427,2021-10-12,4,category_1
152,3427,2021-10-13,0,category_1
153,3427,2021-10-14,4,category_1
154,3427,2021-10-15,3,category_1
155,3427,2021-10-16,2,category_1
156,3427,2021-10-17,2,category_1
157,3427,2021-10-18,27,category_1
158,3427,2021-10-19,1,category_1
159,3427,2021-10-20,7,category_1
160,3427,2021-10-21,0,category_1
161,3427,2021-10-22,6,category_1
162,3427,2021-10-23,6,category_1
163,3427,2021-10-24,1,category_1
164,3427,2021-10-25,21,category_1
165,3427,2021-10-26,5,category_1
166,3427,2021-10-27,11,category_1
167,3427,2021-10-28,2,category_1
168,3427,2021-10-29,10,category_1
169,3427,2021-10-30,2,category_1
170,3427,2021-10-31,3,category_1
171,3427,2021-11-01,3,category_1
172,3427,2021-11-02,3,category_1
173,3427,2021-11-03,5,category_1
174,3427,2021-11-04,14,category_1
175,3427,2021-11-05,2,category_1
176,3427,2021-11-06,0,category_1
177,3427,2021-11-07,1,category_1
178,3427,2021-11-08,10,category_1
179,3427,2021-11-09,5,category_1
180,3427,2021-11-10,0,category_1
181,3427,2021-11-11,2,category_1
182,3427,2021-11-12,7,category_1
183,3427,2021-11-13,4,category_1
184,3427,2021-11-14,8,category_1
185,3427,2021-11-15,5,category_1
186,3427,2021-11-16,6,category_1
187,3427,2021-11-17,20,category_1
188,3427,2021-11-18,1,category_1
189,3427,2021-11-19,11,category_1
190,3427,2021-11-20,6,category_1
191,3427,2021-11-21,3,category_1
192,3427,2021-11-22,1,category_1
193,3427,2021-11-23,7,category_1
194,3427,2021-11-24,5,category_1
195,3427,2021-11-25,2,category_1
196,3427,2021-11-26,11,category_1
197,3427,2021-11-27,9,category_1
198,3427,2021-11-28,7,category_1
199,3427,2021-11-29,5,category_1
200,3427,2021-11-30,5,category_1
201,3427,2021-12-01,20,category_1
202,3427,2021-12-02,6,category_1
203,3427,2021-12-03,4,category_1
204,3427,2021-12-04,7,category_1
205,3427,2021-12-05,10,category_1
206,3427,2021-12-06,15,category_1
207,3427,2021-12-07,4,category_1
208,3427,2021-12-08,5,category_1
209,3427,2021-12-09,3,category_1
