CategoryCode,ItemCode,DateID,DailySales,PromoStarted,PromoEnded,DiscountValue,DiscountType,SellingPrice,WOY,DOW,DOY
category_1,379249,2021-12-04,9,2021-12-03,2021-12-09,10,Percentage,70,48,5,338
category_1,379249,2021-12-07,11,2021-12-03,2021-12-09,10,Percentage,70,49,1,341
category_1,379249,2021-12-05,9,2021-12-03,2021-12-09,10,Percentage,70,48,6,339
category_1,379249,2021-12-08,9,2021-12-03,2021-12-09,10,Percentage,70,49,2,342
category_1,379249,2021-12-06,6,2021-12-03,2021-12-09,10,Percentage,70,49,0,340
category_1,379249,2022-01-06,1,2022-01-04,2022-01-13,10,Percentage,70,1,3,6
category_1,379249,2022-01-05,3,2022-01-04,2022-01-13,10,Percentage,70,1,2,5
category_1,379249,2022-01-08,1,2022-01-04,2022-01-13,10,Percentage,70,1,5,8
category_1,379249,2022-01-12,8,2022-01-04,2022-01-13,10,Percentage,70,2,2,12
category_1,379249,2022-01-10,1,2022-01-04,2022-01-13,10,Percentage,70,2,0,10
category_1,379249,2022-01-11,11,2022-01-04,2022-01-13,10,Percentage,70,2,1,11
category_1,379249,2021-12-19,3,2021-12-17,2021-12-23,10,Percentage,70,50,6,353
category_1,379249,2021-12-22,60,2021-12-17,2021-12-23,10,Percentage,70,51,2,356
category_1,379249,2021-12-18,8,2021-12-17,2021-12-23,10,Percentage,70,50,5,352
category_1,379249,2021-12-21,10,2021-12-17,2021-12-23,10,Percentage,70,51,1,355
category_1,379249,2021-12-20,6,2021-12-17,2021-12-23,10,Percentage,70,51,0,354
category_1,379249,2021-11-01,3,2021-10-29,2021-11-04,10,Percentage,70,44,0,305
category_1,379249,2021-11-02,7,2021-10-29,2021-11-04,10,Percentage,70,44,1,306
category_1,379249,2021-10-31,11,2021-10-29,2021-11-04,10,Percentage,70,43,6,304
category_1,379249,2021-10-30,3,2021-10-29,2021-11-04,10,Percentage,70,43,5,303
category_1,379249,2021-11-03,4,2021-10-29,2021-11-04,10,Percentage,70,44,2,307
category_1,379249,2021-11-13,3,2021-11-12,2021-11-18,10,Percentage,70,45,5,317
category_1,379249,2021-11-15,3,2021-11-12,2021-11-18,10,Percentage,70,46,0,319
category_1,379249,2021-11-14,3,2021-11-12,2021-11-18,10,Percentage,70,45,6,318
category_1,379249,2021-11-16,21,2021-11-12,2021-11-18,10,Percentage,70,46,1,320
category_1,379249,2021-11-17,5,2021-11-12,2021-11-18,10,Percentage,70,46,2,321
category_1,379249,2021-12-12,2,2021-12-10,2021-12-16,10,Percentage,70,49,6,346
category_1,379249,2021-12-11,6,2021-12-10,2021-12-16,10,Percentage,70,49,5,345
category_1,379249,2021-12-13,3,2021-12-10,2021-12-16,10,Percentage,70,50,0,347
category_1,379249,2021-12-14,5,2021-12-10,2021-12-16,10,Percentage,70,50,1,348
